"Industry-by-Industry Total Requirements, After Redefinitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(in producers' prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Industries/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525, HS, ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81, GFGD, GFGN,GFE,GSLG,GSLE
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises
111CA,Farms,1.2144600,0.0496818,0.0004768,0.0016825,0.0008779,0.0008485,0.0032199,0.0257767,0.0018510,0.0013387,0.0011999,0.0014166,0.0009620,0.0012372,0.0022655,0.0011757,0.0054490,0.0054153,0.2915380,0.0467474,0.0179629,0.0076663,0.0039054,0.0006314,0.0108414,0.0054062,0.0008832,0.0147033,0.0025280,0.0005586,0.0012176,0.0021234,0.0010372,0.0008721,0.0010019,0.0003566,0.0008578,0.0011737,0.0005390,0.0012260,0.0008852,0.0005445,0.0004708,0.0007664,0.0001790,0.0006878,0.0003388,0.0001552,0.0015011,0.0005516,0.0008374,0.0011027,0.0016558,0.0007709,0.0018013,0.0010585,0.0131189,0.0014396,0.0033921,0.0083052,0.0101489,0.0027117,0.0069498,0.0065660,0.0384881,0.0010923,0.0006769,-0.0095962,0.0011380,0.0062455,0.0009856
113FF,"Forestry, fishing, and related activities",0.0828285,1.2263600,0.0005376,0.0020809,0.0007717,0.0006227,0.0085388,0.2010180,0.0029054,0.0021682,0.0016166,0.0025968,0.0015391,0.0022985,0.0033856,0.0014906,0.0226055,0.0060105,0.0313563,0.0053867,0.0033577,0.0417437,0.0072751,0.0006125,0.0031231,0.0110648,0.0010219,0.0018291,0.0028021,0.0004598,0.0009219,0.0012183,0.0048863,0.0009043,0.0009965,0.0003880,0.0012842,0.0014741,0.0007685,0.0026471,0.0019837,0.0009551,0.0012960,0.0005480,0.0004903,0.0005660,0.0004412,0.0004163,0.0014906,0.0011438,0.0005913,0.0006693,0.0010739,0.0005908,0.0009365,0.0008750,0.0025094,0.0010417,0.0014047,0.0021651,0.0031538,0.0008000,0.0025745,0.0036244,0.0129549,0.0008694,0.0006311,0.0000823,0.0006114,0.0028150,0.0016639
211,Oil and gas extraction,0.0422105,0.0181608,1.1256600,0.0289410,0.0124283,0.1425390,0.0227397,0.0178435,0.0197414,0.0240471,0.0148317,0.0145917,0.0089894,0.0166906,0.0122457,0.0092423,0.0135778,0.0126832,0.0216410,0.0257790,0.0142903,0.0229323,0.0232339,0.7134860,0.0445723,0.0249847,0.0049207,0.0070470,0.0073802,0.0042143,0.0060114,0.0876865,0.0324071,0.0760903,0.0522129,0.0358709,0.1178890,0.0140841,0.0079099,0.0067046,0.0053590,0.0055152,0.0030501,0.0045851,0.0039454,0.0030115,0.0033917,0.0009495,0.0174271,0.0041002,0.0039885,0.0046237,0.0048362,0.0039553,0.0134281,0.0163768,0.0183114,0.0071273,0.0106804,0.0102095,0.0095708,0.0060718,0.0107173,0.0117366,0.0108430,0.0056177,0.0216690,0.0087635,0.0192181,0.0274585,0.0898680
212,"Mining, except oil and gas",0.0110951,0.0022042,0.0039101,1.1298700,0.0035859,0.0164300,0.0168378,0.0044693,0.0734898,0.0920915,0.0189128,0.0124435,0.0050186,0.0151237,0.0134701,0.0085071,0.0075083,0.0084702,0.0088042,0.0084533,0.0038080,0.0170912,0.0047183,0.0069020,0.0116898,0.0076160,0.0010510,0.0015250,0.0013848,0.0008061,0.0013246,0.0020618,0.0039113,0.0042386,0.0021362,0.0011168,0.0030272,0.0019282,0.0017438,0.0023199,0.0017480,0.0018317,0.0012153,0.0007241,0.0009943,0.0006763,0.0008423,0.0005509,0.0056042,0.0014553,0.0009129,0.0009435,0.0017821,0.0010057,0.0013121,0.0021850,0.0034428,0.0018988,0.0026768,0.0020715,0.0023868,0.0018060,0.0030954,0.0021830,0.0037062,0.0017838,0.0018176,0.0049108,0.0011182,0.0024348,0.0132463
213,Support activities for mining,0.0008246,0.0003110,0.0132596,0.0281860,1.0075200,0.0021309,0.0007839,0.0004057,0.0022257,0.0027623,0.0007877,0.0006076,0.0003021,0.0006910,0.0006140,0.0004189,0.0004359,0.0004317,0.0005465,0.0005746,0.0003113,0.0007765,0.0004520,0.0085335,0.0008693,0.0005575,0.0001791,0.0001790,0.0001600,0.0000950,0.0001771,0.0013058,0.0005712,0.0014647,0.0009737,0.0004814,0.0015371,0.0037493,0.0002600,0.0002519,0.0001760,0.0001482,0.0001104,0.0000902,0.0001207,0.0000710,0.0000935,0.0000291,0.0003781,0.0001233,0.0001044,0.0001142,0.0002209,0.0000981,0.0002340,0.0003250,0.0003395,0.0001681,0.0002230,0.0001966,0.0002249,0.0001700,0.0002396,0.0002235,0.0002622,0.0001455,0.0003359,0.0002498,0.0002832,0.0004094,0.0014597
22,Utilities,0.0406333,0.0083564,0.0258217,0.0437014,0.0060909,1.0127300,0.0141452,0.0295375,0.0460307,0.0641631,0.0323607,0.0231836,0.0167386,0.0251477,0.0245775,0.0185102,0.0236386,0.0185765,0.0339113,0.0399651,0.0293891,0.0538299,0.0281654,0.0280262,0.0321004,0.0346991,0.0091891,0.0150223,0.0254507,0.0144335,0.0157630,0.0093541,0.0083327,0.0307427,0.0118431,0.0077338,0.0141021,0.0128937,0.0270104,0.0112109,0.0125443,0.0160137,0.0052865,0.0057273,0.0083469,0.0059953,0.0071491,0.0009443,0.0744188,0.0085873,0.0090422,0.0071342,0.0089519,0.0081493,0.0092192,0.0108739,0.0805833,0.0116169,0.0238924,0.0219959,0.0172772,0.0148218,0.0232243,0.0319139,0.0273346,0.0110491,0.0099889,0.0086814,0.0132378,0.0190320,0.0181690
23,Construction,0.0143155,0.0052904,0.0143682,0.0329496,0.0084161,0.0148362,1.0057500,0.0113201,0.0138296,0.0186796,0.0117738,0.0094720,0.0066589,0.0088886,0.0087073,0.0066622,0.0107145,0.0074711,0.0106386,0.0106691,0.0075325,0.0141802,0.0116803,0.0174004,0.0098143,0.0115540,0.0045969,0.0073861,0.0082595,0.0059620,0.0084292,0.0064952,0.0258941,0.0116196,0.0077779,0.0051306,0.0725372,0.0184158,0.0098488,0.0060459,0.0067403,0.0142335,0.0037440,0.0096003,0.0063659,0.0037295,0.0077644,0.0275385,0.0513490,0.0049438,0.0059615,0.0042690,0.0079653,0.0054317,0.0047127,0.0046650,0.0113994,0.0060456,0.0097524,0.0086912,0.0110950,0.0071067,0.0079132,0.0156921,0.0101811,0.0092088,0.0128079,0.0089436,0.0152835,0.0149044,0.1166970
321,Wood products,0.0066490,0.0072824,0.0020783,0.0048877,0.0029131,0.0018409,0.0502156,1.2914100,0.0108000,0.0077965,0.0050594,0.0100229,0.0053291,0.0074122,0.0135551,0.0046545,0.1322950,0.0185291,0.0058118,0.0063572,0.0033560,0.0432457,0.0082535,0.0021104,0.0038354,0.0145380,0.0033814,0.0028468,0.0040789,0.0016155,0.0029879,0.0018352,0.0297669,0.0027005,0.0032166,0.0010791,0.0053500,0.0038283,0.0026215,0.0087809,0.0099162,0.0039856,0.0067630,0.0013152,0.0013299,0.0011766,0.0012074,0.0023847,0.0062895,0.0057081,0.0013285,0.0013473,0.0020027,0.0012618,0.0022583,0.0023153,0.0025593,0.0024304,0.0025486,0.0020840,0.0100820,0.0016913,0.0036832,0.0058862,0.0090654,0.0025369,0.0019529,0.0017225,0.0015312,0.0047259,0.0081840
327,Nonmetallic mineral products,0.0037126,0.0022872,0.0058572,0.0083351,0.0069724,0.0028429,0.0542181,0.0189790,1.1507700,0.0164233,0.0098342,0.0135013,0.0072914,0.0213322,0.0232756,0.0064484,0.0125545,0.0115189,0.0126153,0.0136561,0.0050046,0.0055014,0.0032548,0.0062839,0.0070074,0.0133285,0.0019398,0.0028321,0.0022449,0.0010232,0.0027190,0.0025374,0.0034604,0.0034456,0.0029089,0.0014243,0.0059239,0.0029028,0.0022725,0.0020050,0.0019702,0.0044521,0.0033307,0.0013059,0.0013439,0.0010351,0.0012097,0.0016330,0.0043716,0.0017468,0.0011422,0.0015854,0.0035733,0.0021005,0.0024927,0.0043458,0.0038923,0.0054842,0.0033022,0.0036178,0.0047878,0.0016315,0.0031759,0.0034376,0.0116879,0.0034168,0.0023306,0.0027448,0.0016512,0.0029325,0.0156168
