"Industry-by-Industry Total Requirements, After Redefinitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(in producers' prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Industries/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises
111CA,Farms,1.2330600,0.0360378,0.0011668,0.0032438,0.0017580,0.0011326,0.0043422,0.0227743,0.0053246,0.0036582,0.0039823,0.0040964,0.0016283,0.0035735,0.0050223,0.0028192,0.0088119,0.0090523,0.3906260,0.0590669,0.0217906,0.0144734,0.0111930,0.0020186,0.0421719,0.0203346,0.0015296,0.0054361,0.0048736,0.0014587,0.0020475,0.0013766,0.0015708,0.0020766,0.0017389,0.0010876,0.0007606,0.0027379,0.0014266,0.0016695,0.0007722,0.0014029,0.0026439,0.0014910,0.0012741,0.0012830,0.0012547,0.0003454,0.0025588,0.0016347,0.0014354,0.0012604,0.0032820,0.0020737,0.0039185,0.0033828,0.0142947,0.0035007,0.0084360,0.0138590,0.0127157,0.0052566,0.0138693,0.0099450,0.0527088,0.0023872,0.0030095,-0.0040216,0.0100463,0.0097749,0.0023879
113FF,"Forestry, fishing, and related activities",0.0672201,1.1243600,0.0002556,0.0015019,0.0005364,0.0003344,0.0041382,0.1455680,0.0020170,0.0019386,0.0016461,0.0021714,0.0006974,0.0018194,0.0030933,0.0013101,0.0175876,0.0047778,0.0304657,0.0050954,0.0066395,0.0264394,0.0039878,0.0004200,0.0042949,0.0156873,0.0007355,0.0008249,0.0030101,0.0005156,0.0007757,0.0004641,0.0027182,0.0006373,0.0006983,0.0004140,0.0004354,0.0011204,0.0006933,0.0007379,0.0003780,0.0006479,0.0021804,0.0004422,0.0005096,0.0004121,0.0004450,0.0003778,0.0010563,0.0012696,0.0004290,0.0003689,0.0009359,0.0005957,0.0008622,0.0011148,0.0019237,0.0008559,0.0017188,0.0024019,0.0020712,0.0008154,0.0027222,0.0032899,0.0122240,0.0008678,0.0006487,0.0001617,0.0019180,0.0018643,0.0012042
211,Oil and gas extraction,0.0623299,0.0189181,1.0903400,0.0682409,0.0199580,0.1350030,0.0415030,0.0331838,0.0424613,0.0484471,0.0286578,0.0265815,0.0083876,0.0292941,0.0239406,0.0172972,0.0281808,0.0233557,0.0397447,0.0398232,0.0207520,0.0501623,0.0385256,0.7241040,0.0631232,0.0482132,0.0097036,0.0111952,0.0127206,0.0114720,0.0110366,0.1872280,0.1098280,0.1329370,0.1618130,0.0797141,0.0679804,0.0528822,0.0183118,0.0080983,0.0033342,0.0072892,0.0130563,0.0064714,0.0083141,0.0039168,0.0065338,0.0024686,0.0218961,0.0106735,0.0052472,0.0052869,0.0100130,0.0097875,0.0147700,0.0347464,0.0183928,0.0107556,0.0164520,0.0159054,0.0133570,0.0112168,0.0185239,0.0158358,0.0165677,0.0126001,0.0450879,0.0092076,0.0604015,0.0467828,0.0919798
212,"Mining, except oil and gas",0.0108905,0.0018272,0.0025368,1.1237200,0.0038712,0.0169619,0.0183295,0.0070811,0.1155020,0.1455470,0.0371147,0.0231756,0.0060091,0.0304289,0.0198360,0.0145967,0.0137763,0.0169673,0.0105291,0.0093784,0.0044143,0.0214645,0.0054615,0.0049896,0.0130410,0.0113159,0.0014844,0.0018834,0.0021547,0.0017537,0.0021699,0.0025326,0.0061042,0.0041793,0.0031141,0.0021908,0.0023067,0.0032142,0.0033132,0.0014693,0.0008748,0.0030611,0.0040620,0.0008228,0.0015270,0.0007370,0.0011962,0.0010492,0.0085205,0.0039182,0.0010731,0.0010159,0.0034737,0.0020329,0.0022546,0.0073787,0.0040699,0.0025151,0.0030019,0.0030557,0.0034833,0.0040380,0.0085867,0.0028778,0.0045920,0.0041708,0.0031469,0.0034733,0.0032826,0.0029561,0.0228045
213,Support activities for mining,0.0012938,0.0004098,0.0190870,0.0158819,1.0130100,0.0026439,0.0011264,0.0008264,0.0023951,0.0029195,0.0013301,0.0010675,0.0003205,0.0011444,0.0009578,0.0007001,0.0008654,0.0007652,0.0009438,0.0009025,0.0004908,0.0013057,0.0008346,0.0127346,0.0013399,0.0011269,0.0002854,0.0002836,0.0002943,0.0002896,0.0002948,0.0036265,0.0020733,0.0028155,0.0031867,0.0014771,0.0013388,0.0042895,0.0004700,0.0002194,0.0000984,0.0002364,0.0004056,0.0001430,0.0002276,0.0001018,0.0001728,0.0000664,0.0005348,0.0002955,0.0001355,0.0001302,0.0003089,0.0002351,0.0003363,0.0008442,0.0004160,0.0002541,0.0003725,0.0003511,0.0003387,0.0003091,0.0004858,0.0003548,0.0004137,0.0003297,0.0009097,0.0002323,0.0011684,0.0008862,0.0020164
22,Utilities,0.0158772,0.0035584,0.0056827,0.0187795,0.0039425,1.0082400,0.0087206,0.0213896,0.0341091,0.0359154,0.0224182,0.0160665,0.0059377,0.0163702,0.0162745,0.0123244,0.0173346,0.0135798,0.0195524,0.0228393,0.0159049,0.0414472,0.0172765,0.0102911,0.0227958,0.0241642,0.0080600,0.0115424,0.0208240,0.0151627,0.0143943,0.0061561,0.0060787,0.0266462,0.0084948,0.0159933,0.0038580,0.0114281,0.0303413,0.0051032,0.0030481,0.0083313,0.0109817,0.0036918,0.0068983,0.0032303,0.0053312,0.0018087,0.0689290,0.0074261,0.0052280,0.0042716,0.0089682,0.0117328,0.0067043,0.0129005,0.0470284,0.0094073,0.0135572,0.0185666,0.0144540,0.0123729,0.0200820,0.0199724,0.0159625,0.0125442,0.0066637,0.0048633,0.0302542,0.0130010,0.0108547
23,Construction,0.0126562,0.0032329,0.0094750,0.0217301,0.0063204,0.0178833,1.0049700,0.0091022,0.0111380,0.0137972,0.0089027,0.0071706,0.0029514,0.0066390,0.0076633,0.0055612,0.0077083,0.0062643,0.0096677,0.0095632,0.0076011,0.0117382,0.0082940,0.0187808,0.0073908,0.0084354,0.0066427,0.0085863,0.0119459,0.0095631,0.0121946,0.0091903,0.0163996,0.0131563,0.0102379,0.0209423,0.0190355,0.0184328,0.0169284,0.0037201,0.0025198,0.0085580,0.0085226,0.0062184,0.0070431,0.0028759,0.0056707,0.0382524,0.0781488,0.0062089,0.0053225,0.0035031,0.0077484,0.0075022,0.0053780,0.0072168,0.0140412,0.0078013,0.0083499,0.0142740,0.0139291,0.0104749,0.0119460,0.0134605,0.0099062,0.0137096,0.0109168,0.0079776,0.0323620,0.0175016,0.1489670
321,Wood products,0.0041547,0.0052947,0.0008291,0.0037612,0.0019143,0.0011883,0.0301635,1.2725900,0.0077184,0.0073453,0.0054957,0.0080811,0.0026394,0.0067025,0.0126378,0.0044495,0.1296010,0.0126638,0.0051846,0.0050467,0.0037245,0.0481612,0.0059096,0.0013077,0.0030586,0.0122822,0.0032154,0.0023057,0.0045946,0.0020313,0.0030920,0.0013936,0.0216280,0.0020516,0.0024802,0.0015808,0.0017123,0.0030881,0.0028303,0.0020393,0.0018930,0.0028037,0.0140919,0.0009436,0.0016904,0.0008336,0.0012904,0.0028040,0.0052856,0.0077328,0.0009881,0.0008331,0.0022572,0.0016159,0.0024443,0.0033548,0.0022127,0.0019186,0.0022740,0.0019187,0.0069325,0.0019789,0.0040434,0.0056658,0.0077371,0.0024877,0.0017277,0.0015684,0.0031651,0.0038163,0.0064608
327,Nonmetallic mineral products,0.0029905,0.0014202,0.0022479,0.0083997,0.0049262,0.0018818,0.0407330,0.0189754,1.1243100,0.0246750,0.0125519,0.0147207,0.0038240,0.0188323,0.0220554,0.0072368,0.0127786,0.0100302,0.0108676,0.0086002,0.0051811,0.0078880,0.0035286,0.0031721,0.0059685,0.0138884,0.0014491,0.0029395,0.0021210,0.0014905,0.0024782,0.0017426,0.0028507,0.0026052,0.0024953,0.0020109,0.0019549,0.0028616,0.0027420,0.0011996,0.0006275,0.0040149,0.0088574,0.0009885,0.0016224,0.0008334,0.0012821,0.0018781,0.0046501,0.0030111,0.0010285,0.0010514,0.0047440,0.0019029,0.0027224,0.0048909,0.0027693,0.0034948,0.0042436,0.0031283,0.0038666,0.0018269,0.0038789,0.0024949,0.0093579,0.0038481,0.0023277,0.0020259,0.0032797,0.0024807,0.0153476
