"Industry-by-Industry Total Requirements, After Redefinitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(in producers' prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Industries/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525, HS, ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81, GFGD, GFGN,GFE,GSLG,GSLE
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises
111CA,Farms,1.2241500,0.0366926,0.0003348,0.0013967,0.0005915,0.0006029,0.0032398,0.0271529,0.0023897,0.0016355,0.0015561,0.0016073,0.0007760,0.0013527,0.0026360,0.0011024,0.0058342,0.0051799,0.3182630,0.0295216,0.0107918,0.0088331,0.0058483,0.0006057,0.0160465,0.0077116,0.0006375,0.0008351,0.0032899,0.0008022,0.0010001,0.0008857,0.0010432,0.0010205,0.0007576,0.0005771,0.0005975,0.0013375,0.0005776,0.0010836,0.0005066,0.0006141,0.0014825,0.0012943,0.0008728,0.0006354,0.0008383,0.0001971,0.0016773,0.0007065,0.0007178,0.0007724,0.0018763,0.0010785,0.0025644,0.0014423,0.0089649,0.0015316,0.0046655,0.0085143,0.0090414,0.0033972,0.0098926,0.0066142,0.0374418,0.0011904,0.0019385,-0.0019395,0.0038002,0.0068663,0.0012947
113FF,"Forestry, fishing, and related activities",0.0842632,1.1498300,0.0001617,0.0014334,0.0003071,0.0003199,0.0047617,0.1724250,0.0019791,0.0016964,0.0012448,0.0017104,0.0007484,0.0015509,0.0031588,0.0010454,0.0187309,0.0037284,0.0311556,0.0033540,0.0042287,0.0320758,0.0046391,0.0002867,0.0024680,0.0124878,0.0004833,0.0002517,0.0024549,0.0004845,0.0006068,0.0004432,0.0038389,0.0005201,0.0005863,0.0004063,0.0006074,0.0008978,0.0004645,0.0009624,0.0003378,0.0004908,0.0022106,0.0005579,0.0005195,0.0003036,0.0004431,0.0002897,0.0010622,0.0007628,0.0003136,0.0003223,0.0007934,0.0004792,0.0007880,0.0008668,0.0015745,0.0006966,0.0013060,0.0019682,0.0020485,0.0007246,0.0025356,0.0031656,0.0109298,0.0006917,0.0006118,0.0004191,0.0010325,0.0018630,0.0012244
211,Oil and gas extraction,0.0483319,0.0158515,1.0870500,0.0362525,0.0096333,0.1620680,0.0349127,0.0245864,0.0313129,0.0335484,0.0203505,0.0193610,0.0076415,0.0201434,0.0210896,0.0118970,0.0210295,0.0149068,0.0271399,0.0314697,0.0106213,0.0316828,0.0308207,0.6996020,0.0529427,0.0368756,0.0054562,0.0034224,0.0107296,0.0100997,0.0080827,0.1251850,0.0539083,0.0737487,0.1065340,0.0494138,0.1853590,0.0411896,0.0129483,0.0074783,0.0030336,0.0052761,0.0094251,0.0068061,0.0077897,0.0027359,0.0060683,0.0017529,0.0240534,0.0068778,0.0037562,0.0042441,0.0077686,0.0081569,0.0113636,0.0252345,0.0162773,0.0090668,0.0140083,0.0141032,0.0127663,0.0097158,0.0172672,0.0155098,0.0132443,0.0109551,0.0298363,0.0108936,0.0453205,0.0370840,0.1051300
212,"Mining, except oil and gas",0.0162053,0.0024197,0.0020450,1.1358900,0.0027373,0.0231498,0.0201584,0.0072614,0.1108910,0.1627140,0.0385243,0.0239415,0.0066911,0.0284382,0.0259079,0.0147844,0.0140338,0.0137127,0.0125449,0.0102149,0.0030726,0.0227406,0.0059201,0.0045161,0.0128075,0.0111553,0.0011249,0.0007632,0.0022682,0.0019661,0.0020165,0.0027398,0.0058686,0.0048458,0.0028924,0.0022954,0.0035843,0.0031533,0.0028980,0.0020946,0.0009875,0.0026941,0.0039945,0.0013147,0.0020597,0.0006957,0.0015835,0.0009180,0.0100466,0.0027225,0.0010236,0.0010740,0.0034590,0.0021174,0.0023199,0.0065031,0.0044158,0.0025826,0.0029088,0.0032419,0.0038720,0.0040397,0.0080604,0.0035218,0.0050068,0.0037838,0.0030279,0.0077818,0.0028262,0.0034873,0.0334511
213,Support activities for mining,0.0009665,0.0002956,0.0140160,0.0199109,1.0172600,0.0025499,0.0009617,0.0005790,0.0024444,0.0033770,0.0012395,0.0009297,0.0003100,0.0009547,0.0010147,0.0005839,0.0006894,0.0005309,0.0006665,0.0006519,0.0002332,0.0009117,0.0005794,0.0090894,0.0009544,0.0007751,0.0001620,0.0000837,0.0002179,0.0002348,0.0002019,0.0020329,0.0008518,0.0014657,0.0017541,0.0007442,0.0025842,0.0040999,0.0003123,0.0002164,0.0000892,0.0001653,0.0003116,0.0001369,0.0002089,0.0000677,0.0001560,0.0000464,0.0005251,0.0001783,0.0000918,0.0000969,0.0002486,0.0001759,0.0002334,0.0005600,0.0003228,0.0001934,0.0002695,0.0002673,0.0002935,0.0002520,0.0004089,0.0003021,0.0003139,0.0002526,0.0005017,0.0003060,0.0006837,0.0005661,0.0020443
22,Utilities,0.0226349,0.0048713,0.0046911,0.0191924,0.0029477,1.0110700,0.0108558,0.0247348,0.0440697,0.0439918,0.0271870,0.0191460,0.0091086,0.0185068,0.0241196,0.0137549,0.0211463,0.0137685,0.0242495,0.0270744,0.0114802,0.0442079,0.0215917,0.0088980,0.0234731,0.0273758,0.0066804,0.0051162,0.0236961,0.0189157,0.0145984,0.0069295,0.0056934,0.0327424,0.0090066,0.0173848,0.0093094,0.0129237,0.0291266,0.0077778,0.0039407,0.0087700,0.0114472,0.0063994,0.0102692,0.0033901,0.0077908,0.0012250,0.0824104,0.0068690,0.0055733,0.0052415,0.0104304,0.0136261,0.0075678,0.0135456,0.0507475,0.0111470,0.0151653,0.0220131,0.0187776,0.0155981,0.0243879,0.0266233,0.0202300,0.0146378,0.0086185,0.0076487,0.0240213,0.0168523,0.0147139
23,Construction,0.0150527,0.0038627,0.0121106,0.0223225,0.0050645,0.0174286,1.0054600,0.0095828,0.0126849,0.0156936,0.0098728,0.0077991,0.0040427,0.0068722,0.0104788,0.0056210,0.0084705,0.0058105,0.0102159,0.0104215,0.0053636,0.0110774,0.0094348,0.0235401,0.0071087,0.0085131,0.0049727,0.0035000,0.0117421,0.0101363,0.0110163,0.0096964,0.0187263,0.0122174,0.0103647,0.0190890,0.0375202,0.0185346,0.0142930,0.0053088,0.0031002,0.0081754,0.0072079,0.0105062,0.0099019,0.0028265,0.0078893,0.0368740,0.0834991,0.0054991,0.0050811,0.0037754,0.0081676,0.0077465,0.0056679,0.0075481,0.0139640,0.0083970,0.0076056,0.0144267,0.0163533,0.0121923,0.0126459,0.0159695,0.0110812,0.0148348,0.0101949,0.0109404,0.0320762,0.0164476,0.1472320
321,Wood products,0.0047255,0.0076879,0.0005993,0.0028433,0.0011062,0.0010235,0.0293041,1.2247600,0.0065099,0.0059630,0.0034563,0.0055719,0.0024761,0.0049492,0.0116557,0.0033004,0.1159650,0.0089204,0.0041194,0.0034966,0.0015011,0.0346825,0.0048891,0.0010273,0.0021027,0.0087022,0.0017259,0.0007671,0.0036685,0.0016986,0.0020778,0.0010566,0.0260527,0.0013996,0.0019867,0.0012304,0.0020415,0.0021308,0.0016945,0.0021641,0.0012241,0.0017957,0.0123900,0.0010471,0.0014017,0.0005152,0.0010833,0.0017360,0.0045841,0.0037268,0.0006283,0.0006002,0.0015721,0.0010758,0.0019479,0.0022892,0.0015586,0.0014567,0.0014809,0.0013838,0.0060346,0.0015156,0.0028550,0.0042430,0.0058555,0.0017009,0.0014804,0.0016236,0.0018805,0.0032376,0.0058770
327,Nonmetallic mineral products,0.0031677,0.0014891,0.0017637,0.0066426,0.0029144,0.0018547,0.0433932,0.0158630,1.1271200,0.0207638,0.0101089,0.0123042,0.0039599,0.0169581,0.0265409,0.0054842,0.0098255,0.0075161,0.0104069,0.0078508,0.0029580,0.0052512,0.0024704,0.0030445,0.0044560,0.0102137,0.0008679,0.0011076,0.0016740,0.0013439,0.0018417,0.0015519,0.0023876,0.0022649,0.0021240,0.0018210,0.0029451,0.0022394,0.0018009,0.0012938,0.0005943,0.0028560,0.0086846,0.0013130,0.0016138,0.0005904,0.0012810,0.0017214,0.0049339,0.0016361,0.0007805,0.0009285,0.0039272,0.0016268,0.0025077,0.0038726,0.0022972,0.0031389,0.0027687,0.0024445,0.0035969,0.0015877,0.0032336,0.0023498,0.0085368,0.0033063,0.0021533,0.0025672,0.0025700,0.0022327,0.0151252
