"Industry-by-Industry Total Requirements, After Redefinitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(in producers' prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Industries/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525, HS, ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81, GFGD, GFGN,GFE,GSLG,GSLE
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises
111CA,Farms,1.2041400,0.0359977,0.0006108,0.0019691,0.0007895,0.0009640,0.0033745,0.0208222,0.0027114,0.0018070,0.0017072,0.0018593,0.0011679,0.0016381,0.0027590,0.0014317,0.0059163,0.0056990,0.3585350,0.0424483,0.0180434,0.0090465,0.0067849,0.0007096,0.0185218,0.0096949,0.0010627,0.0016419,0.0035385,0.0009430,0.0012856,0.0008389,0.0010295,0.0010453,0.0009467,0.0006878,0.0006623,0.0015755,0.0006526,0.0012251,0.0007914,0.0006230,0.0013926,0.0014459,0.0012457,0.0009686,0.0010076,0.0001997,0.0017511,0.0008477,0.0005261,0.0009034,0.0019017,0.0011142,0.0023560,0.0017744,0.0107299,0.0018564,0.0056686,0.0100289,0.0097718,0.0037093,0.0092495,0.0065139,0.0445391,0.0014068,0.0017814,-0.0035868,0.0033917,0.0084117,0.0013694
113FF,"Forestry, fishing, and related activities",0.0784254,1.1369700,0.0003187,0.0017202,0.0004154,0.0005088,0.0054181,0.1563890,0.0022000,0.0017500,0.0013852,0.0020165,0.0011868,0.0017777,0.0032945,0.0013220,0.0175761,0.0052276,0.0336658,0.0045428,0.0046235,0.0319338,0.0052969,0.0003403,0.0034731,0.0171856,0.0007699,0.0005049,0.0029899,0.0005386,0.0007565,0.0005134,0.0037064,0.0005894,0.0007615,0.0005406,0.0006582,0.0011962,0.0005644,0.0011620,0.0005399,0.0005502,0.0018881,0.0006672,0.0007990,0.0004814,0.0005709,0.0002990,0.0012423,0.0009295,0.0002659,0.0003998,0.0008509,0.0005424,0.0008493,0.0010526,0.0018840,0.0009211,0.0015316,0.0023373,0.0022600,0.0008182,0.0027913,0.0032139,0.0132542,0.0008897,0.0006506,0.0003365,0.0010081,0.0021593,0.0013672
211,Oil and gas extraction,0.1001900,0.0513816,1.1948500,0.1086250,0.0231293,0.3152180,0.0582566,0.0538476,0.0695190,0.0700669,0.0447595,0.0413652,0.0216995,0.0440656,0.0417271,0.0282529,0.0450354,0.0364624,0.0623858,0.0791108,0.0287691,0.0781038,0.0659932,0.8741480,0.1369700,0.0918134,0.0167750,0.0130096,0.0262274,0.0218810,0.0190355,0.2559310,0.1399330,0.1884090,0.1584270,0.0735025,0.2695100,0.0742762,0.0265015,0.0153598,0.0086006,0.0102977,0.0167076,0.0128919,0.0204139,0.0081742,0.0133821,0.0029824,0.0518276,0.0151040,0.0060897,0.0086038,0.0150093,0.0189354,0.0213126,0.0520530,0.0345834,0.0205617,0.0299386,0.0280990,0.0237508,0.0184022,0.0295542,0.0322237,0.0310843,0.0217949,0.0587365,0.0203292,0.0683997,0.0652525,0.1512460
212,"Mining, except oil and gas",0.0145812,0.0031825,0.0036605,1.1301400,0.0032805,0.0193892,0.0219065,0.0090338,0.1052220,0.1467590,0.0457655,0.0285070,0.0099745,0.0331627,0.0286094,0.0189603,0.0167024,0.0174728,0.0130572,0.0125398,0.0043114,0.0247457,0.0068769,0.0045954,0.0162348,0.0140373,0.0018535,0.0015796,0.0029014,0.0022518,0.0025280,0.0030331,0.0067071,0.0054931,0.0036241,0.0029483,0.0043508,0.0037427,0.0033504,0.0024639,0.0015495,0.0029699,0.0037124,0.0016271,0.0029952,0.0011980,0.0019531,0.0009956,0.0114790,0.0033431,0.0010048,0.0012989,0.0036486,0.0024438,0.0026748,0.0084278,0.0052734,0.0032233,0.0035441,0.0035839,0.0042615,0.0044131,0.0080658,0.0035128,0.0057014,0.0048603,0.0035380,0.0057031,0.0030685,0.0039076,0.0256789
213,Support activities for mining,0.0016500,0.0008184,0.0159030,0.0192331,1.0128900,0.0046055,0.0013257,0.0010589,0.0027579,0.0034343,0.0016689,0.0013106,0.0005972,0.0013655,0.0013405,0.0008984,0.0010720,0.0009095,0.0011755,0.0013589,0.0005224,0.0015925,0.0010950,0.0116768,0.0021610,0.0016001,0.0003977,0.0002611,0.0004596,0.0004311,0.0003869,0.0039595,0.0020443,0.0031477,0.0027165,0.0011191,0.0037853,0.0067430,0.0005528,0.0003800,0.0002124,0.0002474,0.0004329,0.0002381,0.0004680,0.0001667,0.0002970,0.0000658,0.0009302,0.0003230,0.0001213,0.0001702,0.0003555,0.0003346,0.0003930,0.0010046,0.0005998,0.0003731,0.0005087,0.0004750,0.0004699,0.0004035,0.0005839,0.0005349,0.0005858,0.0004357,0.0009143,0.0004000,0.0010242,0.0009671,0.0025603
22,Utilities,0.0316081,0.0088923,0.0146506,0.0381233,0.0055269,1.0180300,0.0166521,0.0351440,0.0664002,0.0603110,0.0385024,0.0280796,0.0168487,0.0286535,0.0312818,0.0225086,0.0304913,0.0228494,0.0370610,0.0449891,0.0197846,0.0738991,0.0311224,0.0156938,0.0438624,0.0429716,0.0136058,0.0128732,0.0385362,0.0281115,0.0232978,0.0110061,0.0095617,0.0357247,0.0144641,0.0204869,0.0149178,0.0189051,0.0379889,0.0106309,0.0073721,0.0108684,0.0141279,0.0099192,0.0191528,0.0076785,0.0122789,0.0013428,0.1084830,0.0111753,0.0070658,0.0071881,0.0133974,0.0203099,0.0104748,0.0194901,0.0645892,0.0158718,0.0219398,0.0291136,0.0240383,0.0191451,0.0288891,0.0342076,0.0304639,0.0207989,0.0116095,0.0109885,0.0289378,0.0205733,0.0184279
23,Construction,0.0155830,0.0050129,0.0233220,0.0265729,0.0077291,0.0261882,1.0061100,0.0108048,0.0147189,0.0156960,0.0111789,0.0092115,0.0061716,0.0086480,0.0094460,0.0072455,0.0097904,0.0075820,0.0118045,0.0105276,0.0059888,0.0150017,0.0106650,0.0219471,0.0108881,0.0114936,0.0069142,0.0060491,0.0131098,0.0101672,0.0119772,0.0111223,0.0178599,0.0127738,0.0111562,0.0231717,0.0492193,0.0174954,0.0143240,0.0052426,0.0041740,0.0078306,0.0069247,0.0131277,0.0136278,0.0047016,0.0092562,0.0390882,0.0760122,0.0060902,0.0046206,0.0038201,0.0076509,0.0079401,0.0058244,0.0084034,0.0138757,0.0084303,0.0081455,0.0136517,0.0150755,0.0103933,0.0116687,0.0137185,0.0113699,0.0151705,0.0109501,0.0121445,0.0294669,0.0169970,0.1451240
321,Wood products,0.0046455,0.0097886,0.0012904,0.0037665,0.0015185,0.0017263,0.0365364,1.2367700,0.0078387,0.0062191,0.0040896,0.0069105,0.0042606,0.0055914,0.0124560,0.0041389,0.1155800,0.0107328,0.0049533,0.0043685,0.0020926,0.0389021,0.0059541,0.0012549,0.0029900,0.0115638,0.0028211,0.0015631,0.0047107,0.0020331,0.0027442,0.0013510,0.0275094,0.0017273,0.0025766,0.0017922,0.0027797,0.0028201,0.0021677,0.0027551,0.0021051,0.0021955,0.0110769,0.0014621,0.0022349,0.0009353,0.0014775,0.0019197,0.0060226,0.0047798,0.0006544,0.0008043,0.0018900,0.0013396,0.0023006,0.0028831,0.0020508,0.0019231,0.0018882,0.0017682,0.0073911,0.0019137,0.0033054,0.0050828,0.0080406,0.0023025,0.0016847,0.0016947,0.0021784,0.0039850,0.0070582
327,Nonmetallic mineral products,0.0036378,0.0018879,0.0035948,0.0079798,0.0041746,0.0032151,0.0524429,0.0205955,1.1429400,0.0221675,0.0129652,0.0147478,0.0063827,0.0204784,0.0258394,0.0076237,0.0123056,0.0101059,0.0118629,0.0104578,0.0041053,0.0066787,0.0031765,0.0039592,0.0058839,0.0134728,0.0015393,0.0023366,0.0024061,0.0016011,0.0024506,0.0022542,0.0031896,0.0030024,0.0028732,0.0026485,0.0042147,0.0029428,0.0023882,0.0015970,0.0010210,0.0032151,0.0078921,0.0018040,0.0026186,0.0010811,0.0017507,0.0021530,0.0056730,0.0022102,0.0007506,0.0012060,0.0044749,0.0019747,0.0030219,0.0051068,0.0028726,0.0043978,0.0033212,0.0030583,0.0043235,0.0018839,0.0036221,0.0025849,0.0106697,0.0043766,0.0026230,0.0029226,0.0029733,0.0028678,0.0166777
