"Industry-by-Industry Total Requirements, After Redefinitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(in producers' prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Industries/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525, HS, ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81, GFGD, GFGN,GFE,GSLG,GSLE
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises
111CA,Farms,1.2227400,0.0654733,0.0007730,0.0018829,0.0014478,0.0010300,0.0039432,0.0396169,0.0025485,0.0017660,0.0015435,0.0018634,0.0013520,0.0018395,0.0034508,0.0016564,0.0085553,0.0066222,0.3326390,0.0615648,0.0255108,0.0109832,0.0066528,0.0008151,0.0121103,0.0069032,0.0010730,0.0070595,0.0034969,0.0007518,0.0015807,0.0045518,0.0014069,0.0018054,0.0011922,0.0007452,0.0013809,0.0011531,0.0003057,0.0018604,0.0014243,0.0007114,0.0009472,0.0013927,0.0007841,0.0007638,0.0009486,0.0003647,0.0023774,0.0009229,0.0013786,0.0014684,0.0020704,0.0013641,0.0029595,0.0014773,0.0242120,0.0018569,0.0042489,0.0114532,0.0146472,0.0023734,0.0083891,0.0112862,0.0604052,0.0013813,0.0013754,-0.0041412,0.0012799,0.0077387,0.0012405
113FF,"Forestry, fishing, and related activities",0.0837094,1.2614500,0.0006703,0.0028682,0.0014309,0.0006577,0.0097901,0.2231480,0.0040461,0.0025676,0.0019771,0.0029812,0.0019383,0.0029395,0.0040403,0.0019621,0.0265813,0.0069925,0.0350087,0.0066150,0.0041579,0.0460064,0.0110520,0.0006015,0.0040303,0.0137151,0.0008956,0.0012048,0.0031671,0.0006058,0.0009879,0.0017376,0.0046609,0.0010383,0.0010657,0.0010501,0.0013459,0.0012532,0.0003586,0.0033963,0.0018826,0.0009425,0.0018607,0.0008783,0.0007886,0.0005033,0.0007726,0.0010380,0.0019492,0.0011066,0.0008822,0.0007839,0.0012392,0.0008614,0.0012917,0.0010295,0.0040682,0.0012278,0.0017859,0.0030175,0.0038578,0.0009439,0.0035910,0.0051069,0.0174142,0.0010034,0.0008492,0.0005897,0.0006099,0.0031385,0.0018546
211,Oil and gas extraction,0.0190758,0.0090897,1.1012500,0.0200536,0.0142925,0.1200390,0.0152783,0.0106012,0.0134305,0.0177706,0.0100240,0.0092498,0.0062947,0.0140849,0.0083923,0.0072816,0.0093099,0.0084861,0.0128281,0.0158299,0.0094829,0.0123543,0.0164246,0.5516140,0.0288019,0.0163987,0.0028176,0.0046537,0.0051325,0.0035939,0.0040982,0.0446734,0.0245304,0.0480588,0.0286703,0.0343576,0.1295290,0.0092541,0.0021253,0.0045690,0.0039958,0.0030052,0.0023465,0.0036161,0.0038054,0.0013940,0.0033462,0.0007932,0.0132141,0.0033822,0.0032212,0.0032361,0.0036302,0.0028103,0.0072911,0.0190471,0.0113087,0.0047792,0.0073391,0.0066886,0.0056699,0.0043351,0.0067412,0.0076217,0.0071077,0.0035773,0.0064903,0.0030677,0.0083841,0.0165323,0.0648862
212,"Mining, except oil and gas",0.0109627,0.0030243,0.0047318,1.1318200,0.0056793,0.0221400,0.0175754,0.0059381,0.0763950,0.1070000,0.0248659,0.0148925,0.0064480,0.0218921,0.0170267,0.0116018,0.0101047,0.0098849,0.0091445,0.0097576,0.0048904,0.0140851,0.0060433,0.0053871,0.0164957,0.0097143,0.0010579,0.0014239,0.0016856,0.0011980,0.0016013,0.0021407,0.0050493,0.0047002,0.0025249,0.0016073,0.0037611,0.0018768,0.0009372,0.0029976,0.0020126,0.0018926,0.0017753,0.0011904,0.0016544,0.0005720,0.0015946,0.0007499,0.0093384,0.0018807,0.0014697,0.0012238,0.0021192,0.0013975,0.0017201,0.0029443,0.0039967,0.0025058,0.0035992,0.0027160,0.0027117,0.0020216,0.0048854,0.0027622,0.0047950,0.0024471,0.0023153,0.0050475,0.0011057,0.0029229,0.0121319
213,Support activities for mining,0.0003560,0.0001928,0.0112401,0.0127829,1.0050500,0.0015182,0.0003960,0.0002306,0.0010764,0.0014822,0.0004377,0.0003093,0.0001698,0.0004451,0.0003316,0.0002466,0.0002509,0.0002307,0.0002805,0.0003055,0.0001839,0.0003275,0.0002721,0.0056775,0.0005122,0.0003150,0.0001219,0.0001157,0.0001004,0.0000806,0.0001105,0.0006664,0.0004090,0.0009831,0.0006380,0.0004200,0.0014179,0.0038531,0.0000694,0.0001560,0.0001444,0.0000714,0.0000813,0.0000684,0.0001018,0.0000301,0.0000805,0.0000193,0.0002649,0.0000921,0.0000819,0.0000723,0.0001159,0.0000616,0.0001306,0.0002848,0.0001890,0.0001048,0.0001409,0.0001199,0.0001252,0.0001153,0.0001630,0.0001320,0.0001543,0.0000869,0.0001096,0.0001003,0.0001227,0.0002180,0.0008463
22,Utilities,0.0307208,0.0088693,0.0239410,0.0419019,0.0085406,1.0129900,0.0138047,0.0249513,0.0396139,0.0473382,0.0280305,0.0196224,0.0169913,0.0236015,0.0210368,0.0187539,0.0218532,0.0166444,0.0278838,0.0297480,0.0245461,0.0383590,0.0238821,0.0202629,0.0330084,0.0323749,0.0082538,0.0150946,0.0265676,0.0184325,0.0164398,0.0082669,0.0083238,0.0278053,0.0090099,0.0100276,0.0190760,0.0120401,0.0100932,0.0108973,0.0118870,0.0106761,0.0060047,0.0089957,0.0143054,0.0036607,0.0118693,0.0017152,0.0691998,0.0111622,0.0101537,0.0087523,0.0099434,0.0096313,0.0107028,0.0253763,0.0604861,0.0115128,0.0187306,0.0212472,0.0144342,0.0129988,0.0250953,0.0310774,0.0246243,0.0113505,0.0083033,0.0072378,0.0108600,0.0158846,0.0265352
23,Construction,0.0128490,0.0055775,0.0082133,0.0300033,0.0083016,0.0133411,1.0062100,0.0126547,0.0164551,0.0190280,0.0127525,0.0098455,0.0094823,0.0106865,0.0093798,0.0091335,0.0100288,0.0086631,0.0122944,0.0110016,0.0084324,0.0156119,0.0113753,0.0071708,0.0126062,0.0132380,0.0040909,0.0067395,0.0071629,0.0060997,0.0080305,0.0054678,0.0171860,0.0096437,0.0064893,0.0062760,0.0368275,0.0147214,0.0035972,0.0054988,0.0063526,0.0104639,0.0041142,0.0124097,0.0071335,0.0022786,0.0129135,0.0172961,0.0450296,0.0061584,0.0064755,0.0041734,0.0094321,0.0080469,0.0051808,0.0054705,0.0094895,0.0059693,0.0080691,0.0085028,0.0094197,0.0068169,0.0108037,0.0173957,0.0104288,0.0092278,0.0242299,0.0106832,0.0115427,0.0153242,0.0910437
321,Wood products,0.0062805,0.0041658,0.0020049,0.0079689,0.0053539,0.0017361,0.0522980,1.3117600,0.0143883,0.0082304,0.0056455,0.0099731,0.0063450,0.0083367,0.0139925,0.0054679,0.1412200,0.0203400,0.0067638,0.0057181,0.0037936,0.0528788,0.0125678,0.0015545,0.0044908,0.0146276,0.0024617,0.0021215,0.0044208,0.0018168,0.0027048,0.0020210,0.0253741,0.0024897,0.0030754,0.0018875,0.0042149,0.0029507,0.0010644,0.0095749,0.0075653,0.0032787,0.0088315,0.0018098,0.0017981,0.0008550,0.0019125,0.0056999,0.0071172,0.0042444,0.0017094,0.0014037,0.0022359,0.0016352,0.0023142,0.0023713,0.0028063,0.0024540,0.0027427,0.0024032,0.0103122,0.0019224,0.0056381,0.0062286,0.0104764,0.0025820,0.0025580,0.0019675,0.0013242,0.0057921,0.0079616
327,Nonmetallic mineral products,0.0044222,0.0028184,0.0068821,0.0096177,0.0104076,0.0027401,0.0593563,0.0238714,1.1655900,0.0193711,0.0123162,0.0154846,0.0091655,0.0350043,0.0256432,0.0084485,0.0154320,0.0151282,0.0135343,0.0202231,0.0083822,0.0070006,0.0047677,0.0056376,0.0082701,0.0151480,0.0014999,0.0022405,0.0021069,0.0012982,0.0023991,0.0029706,0.0037695,0.0037216,0.0032530,0.0018934,0.0049849,0.0026690,0.0010604,0.0024541,0.0020233,0.0040741,0.0048822,0.0019320,0.0021185,0.0007916,0.0020948,0.0017959,0.0048058,0.0021979,0.0016145,0.0019480,0.0040743,0.0027991,0.0031822,0.0043765,0.0042170,0.0069830,0.0046517,0.0052496,0.0058833,0.0018512,0.0047114,0.0047062,0.0154288,0.0040108,0.0033390,0.0037556,0.0014886,0.0037422,0.0168725
