"Industry-by-Industry Total Requirements, After Redefinitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(in producers' prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Industries/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525, HS, ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81, GFGD, GFGN,GFE,GSLG,GSLE
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises
111CA,Farms,1.2103400,0.0533062,0.0005622,0.0017563,0.0009913,0.0008374,0.0036232,0.0270977,0.0020506,0.0015873,0.0013085,0.0016159,0.0009274,0.0012960,0.0024575,0.0013557,0.0062945,0.0062587,0.3145380,0.0618178,0.0234671,0.0086445,0.0043703,0.0004438,0.0101617,0.0061447,0.0009518,0.0169672,0.0028933,0.0007769,0.0013194,0.0027859,0.0011185,0.0012790,0.0010102,0.0003372,0.0008423,0.0013417,0.0006499,0.0013145,0.0011862,0.0006913,0.0006088,0.0008967,0.0005852,0.0007513,0.0005236,0.0001874,0.0018086,0.0007911,0.0009889,0.0011177,0.0019141,0.0008859,0.0020075,0.0012419,0.0136235,0.0016139,0.0042752,0.0103197,0.0116608,0.0037033,0.0101183,0.0077690,0.0424505,0.0013075,0.0011118,-0.0063314,0.0012825,0.0079371,0.0011119
113FF,"Forestry, fishing, and related activities",0.0809928,1.2018000,0.0005498,0.0020966,0.0007473,0.0005653,0.0083231,0.1855870,0.0026571,0.0021835,0.0015630,0.0025561,0.0013094,0.0021706,0.0031731,0.0014751,0.0210887,0.0060097,0.0321990,0.0064186,0.0041638,0.0409669,0.0066840,0.0004371,0.0028297,0.0122727,0.0009170,0.0019192,0.0029569,0.0004854,0.0008647,0.0012702,0.0046380,0.0008530,0.0009177,0.0003364,0.0011214,0.0014546,0.0007903,0.0022733,0.0018925,0.0009066,0.0012872,0.0005465,0.0006227,0.0005255,0.0004539,0.0004042,0.0015116,0.0012601,0.0006158,0.0005950,0.0010744,0.0005824,0.0009316,0.0008735,0.0024362,0.0010512,0.0014603,0.0023636,0.0029675,0.0008607,0.0029817,0.0038995,0.0135861,0.0009045,0.0006691,0.0002917,0.0006102,0.0027287,0.0016264
211,Oil and gas extraction,0.0481599,0.0267737,1.2543100,0.0435628,0.0190852,0.2272160,0.0300130,0.0250181,0.0298487,0.0347747,0.0205156,0.0211325,0.0114756,0.0229397,0.0173615,0.0130897,0.0201822,0.0188847,0.0280496,0.0461508,0.0220832,0.0355189,0.0339462,0.7533120,0.0946481,0.0426374,0.0070304,0.0096203,0.0107553,0.0071230,0.0087353,0.0989042,0.0421827,0.0938648,0.0602322,0.0274648,0.2208080,0.0226564,0.0131224,0.0089424,0.0079753,0.0072848,0.0042127,0.0054193,0.0068731,0.0037881,0.0047715,0.0013293,0.0257993,0.0074390,0.0057798,0.0053344,0.0071992,0.0067807,0.0147334,0.0228244,0.0254742,0.0112736,0.0171669,0.0148141,0.0125797,0.0082004,0.0140861,0.0172150,0.0150627,0.0086139,0.0246835,0.0109308,0.0319536,0.0330790,0.1230620
212,"Mining, except oil and gas",0.0101103,0.0022803,0.0039418,1.1357100,0.0038423,0.0105295,0.0173229,0.0043963,0.0775108,0.1049590,0.0207737,0.0138275,0.0046748,0.0154344,0.0139421,0.0090708,0.0079816,0.0096221,0.0089159,0.0092078,0.0038870,0.0185756,0.0045460,0.0040646,0.0108291,0.0075924,0.0010137,0.0014990,0.0012979,0.0008581,0.0013169,0.0018524,0.0038330,0.0037918,0.0019441,0.0008721,0.0030236,0.0020151,0.0018273,0.0021444,0.0018402,0.0018204,0.0011405,0.0007190,0.0012285,0.0006371,0.0008590,0.0006212,0.0059163,0.0017847,0.0009840,0.0008444,0.0019631,0.0010638,0.0012938,0.0024617,0.0029435,0.0019518,0.0024784,0.0020210,0.0023188,0.0017219,0.0030471,0.0020807,0.0035981,0.0019770,0.0018765,0.0053439,0.0011246,0.0024731,0.0134833
213,Support activities for mining,0.0008489,0.0004182,0.0150746,0.0253434,1.0116100,0.0029957,0.0008497,0.0004874,0.0022282,0.0029262,0.0008714,0.0007107,0.0003124,0.0007479,0.0006681,0.0004713,0.0005195,0.0005201,0.0006098,0.0008276,0.0004023,0.0009228,0.0005689,0.0090998,0.0014240,0.0007587,0.0001939,0.0002049,0.0001944,0.0001387,0.0002003,0.0014666,0.0006559,0.0016436,0.0010739,0.0003774,0.0027835,0.0036535,0.0003193,0.0002587,0.0002109,0.0001672,0.0001196,0.0000991,0.0001710,0.0000771,0.0001115,0.0000345,0.0004741,0.0001726,0.0001239,0.0001127,0.0002378,0.0001306,0.0002461,0.0004045,0.0004050,0.0002134,0.0002907,0.0002473,0.0002526,0.0001827,0.0002719,0.0002836,0.0003035,0.0001831,0.0003784,0.0002743,0.0004365,0.0004756,0.0018483
22,Utilities,0.0331423,0.0084390,0.0252486,0.0385068,0.0068752,1.0133400,0.0138316,0.0282680,0.0493279,0.0612206,0.0302270,0.0224284,0.0141376,0.0225255,0.0227698,0.0175113,0.0231818,0.0181757,0.0318942,0.0436085,0.0304977,0.0571648,0.0267731,0.0207388,0.0320119,0.0331126,0.0089486,0.0143677,0.0239261,0.0151680,0.0156506,0.0093822,0.0077428,0.0337382,0.0114250,0.0080817,0.0147834,0.0142068,0.0287652,0.0102195,0.0123961,0.0138681,0.0054893,0.0059527,0.0102763,0.0055205,0.0072044,0.0009390,0.0741294,0.0101160,0.0094579,0.0062303,0.0093915,0.0097531,0.0083891,0.0109551,0.0769435,0.0119017,0.0211398,0.0212994,0.0164092,0.0134016,0.0218199,0.0299554,0.0250993,0.0121423,0.0101714,0.0094531,0.0144108,0.0202796,0.0162686
23,Construction,0.0136417,0.0053683,0.0209845,0.0296635,0.0094950,0.0161925,1.0054900,0.0103122,0.0128197,0.0168897,0.0103646,0.0087633,0.0056128,0.0076802,0.0077139,0.0061544,0.0098695,0.0070577,0.0100337,0.0113270,0.0076846,0.0133950,0.0106887,0.0166623,0.0093891,0.0106356,0.0047235,0.0072457,0.0085148,0.0064165,0.0088922,0.0068051,0.0239845,0.0113745,0.0077154,0.0071665,0.0645181,0.0166773,0.0112425,0.0055911,0.0072304,0.0130229,0.0034595,0.0092440,0.0080886,0.0035350,0.0072018,0.0308979,0.0547786,0.0058048,0.0066341,0.0038535,0.0078725,0.0054771,0.0046425,0.0047288,0.0109374,0.0065993,0.0091021,0.0093332,0.0111459,0.0070643,0.0082724,0.0149228,0.0100216,0.0097396,0.0118836,0.0092081,0.0158149,0.0146279,0.1227610
321,Wood products,0.0053143,0.0059938,0.0022840,0.0048512,0.0028480,0.0017965,0.0524933,1.2916000,0.0099270,0.0080304,0.0049301,0.0099887,0.0046946,0.0072268,0.0126972,0.0046558,0.1313060,0.0179909,0.0052081,0.0063965,0.0032882,0.0417616,0.0073874,0.0017454,0.0035574,0.0143222,0.0031070,0.0028217,0.0040340,0.0017089,0.0029027,0.0018578,0.0306173,0.0024774,0.0030397,0.0010184,0.0049230,0.0036854,0.0028297,0.0072168,0.0094634,0.0038665,0.0071693,0.0013011,0.0016649,0.0010727,0.0012135,0.0024581,0.0065598,0.0064276,0.0014044,0.0011732,0.0020952,0.0012800,0.0023509,0.0022768,0.0023695,0.0024790,0.0024362,0.0020015,0.0092637,0.0017508,0.0035705,0.0060272,0.0085584,0.0025557,0.0019672,0.0017591,0.0015807,0.0048435,0.0084833
327,Nonmetallic mineral products,0.0033866,0.0024229,0.0060479,0.0082497,0.0070217,0.0027993,0.0539394,0.0177649,1.1464400,0.0180892,0.0098664,0.0138015,0.0059956,0.0191059,0.0220857,0.0062504,0.0119399,0.0106615,0.0117845,0.0142898,0.0052013,0.0053131,0.0029490,0.0046001,0.0064290,0.0126480,0.0017279,0.0027438,0.0021206,0.0010942,0.0025152,0.0023078,0.0031513,0.0031232,0.0025860,0.0012003,0.0055830,0.0027569,0.0023263,0.0017959,0.0020636,0.0041725,0.0035940,0.0012497,0.0016266,0.0009323,0.0011819,0.0017962,0.0045280,0.0020016,0.0011758,0.0013537,0.0038087,0.0017586,0.0023706,0.0040856,0.0032618,0.0051731,0.0032001,0.0032701,0.0043516,0.0015614,0.0031379,0.0031387,0.0106530,0.0034700,0.0022905,0.0028211,0.0016869,0.0027723,0.0152422
