,Industries/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525, HS, ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81, GFGD, GFGN,GFE,GSLG,GSLE
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises
331,Primary metals,0.0165280,0.0085234,0.0153734,0.0357359,0.0171013,0.0086729,0.0459086,0.0385150,0.0410463,1.4749300,0.3942590,0.2375350,0.0804677,0.3017360,0.2215910,0.1373660,0.1060020,0.1106240,0.0322471,0.0245201,0.0138416,0.0336619,0.0203945,0.0125404,0.0187847,0.0434549,0.0053709,0.0055459,0.0062677,0.0045605,0.0062701,0.0079025,0.0384307,0.0235218,0.0158151,0.0116405,0.0269924,0.0162183,0.0097165,0.0080555,0.0050290,0.0131996,0.0134634,0.0043186,0.0056442,0.0022148,0.0043190,0.0025912,0.0136094,0.0080474,0.0036288,0.0044351,0.0113315,0.0067585,0.0094907,0.0497213,0.0109118,0.0078357,0.0080708,0.0069300,0.0126718,0.0055816,0.0116345,0.0092320,0.0147491,0.0166371,0.0174659,0.0071327,0.0091173,0.0082005,0.0243129
332,Fabricated metal products,0.0229308,0.0103273,0.0127058,0.0273583,0.0114171,0.0105454,0.0763782,0.0630700,0.0472321,0.0732342,1.1587400,0.1378130,0.0621702,0.1186540,0.1362170,0.0892281,0.0749290,0.0543854,0.0406109,0.0318152,0.0217110,0.0516717,0.0331001,0.0117508,0.0308026,0.0591453,0.0058550,0.0066983,0.0069383,0.0049965,0.0078674,0.0096943,0.0132246,0.0452542,0.0203025,0.0168279,0.0579907,0.0194221,0.0101556,0.0124119,0.0052408,0.0200961,0.0190630,0.0050199,0.0065721,0.0026528,0.0050230,0.0039009,0.0125354,0.0084741,0.0037638,0.0055548,0.0114570,0.0078908,0.0100796,0.0512946,0.0105044,0.0074813,0.0085945,0.0070804,0.0153666,0.0057458,0.0119381,0.0140956,0.0228025,0.0161160,0.0201405,0.0082065,0.0115172,0.0094212,0.0340605
333,Machinery,0.0176378,0.0092820,0.0135037,0.0677967,0.0339557,0.0080716,0.0255460,0.0138738,0.0137387,0.0267099,0.0239793,1.1184200,0.0095037,0.0276398,0.0688895,0.0336819,0.0097128,0.0139395,0.0133054,0.0079181,0.0044950,0.0163683,0.0200050,0.0100358,0.0110910,0.0157307,0.0029913,0.0029679,0.0034907,0.0026247,0.0032520,0.0049004,0.0061659,0.0089444,0.0074275,0.0075347,0.0188930,0.0150951,0.0095921,0.0038431,0.0025198,0.0037455,0.0058385,0.0019886,0.0028883,0.0013347,0.0021336,0.0012826,0.0071728,0.0041230,0.0016679,0.0026357,0.0048841,0.0032095,0.0079383,0.0508449,0.0116731,0.0031629,0.0038136,0.0036835,0.0041797,0.0028694,0.0041071,0.0038116,0.0062582,0.0116420,0.0062089,0.0024327,0.0040983,0.0053650,0.0132514
334,Computer and electronic products,0.0056411,0.0034984,0.0032271,0.0072580,0.0068253,0.0039774,0.0120726,0.0173701,0.0171605,0.0180243,0.0231235,0.0382570,1.2528600,0.0500213,0.0586364,0.0721093,0.0232674,0.0239939,0.0100459,0.0192917,0.0112706,0.0218847,0.0221752,0.0035326,0.0160617,0.0212149,0.0067254,0.0061208,0.0056570,0.0051968,0.0058457,0.0045917,0.0067698,0.0081358,0.0064784,0.0051876,0.0065572,0.0059992,0.0057218,0.0169689,0.0177577,0.0505395,0.0233103,0.0136187,0.0098484,0.0029500,0.0089076,0.0011015,0.0074267,0.0056231,0.0073120,0.0122555,0.0135512,0.0255382,0.0115340,0.0173582,0.0154032,0.0088315,0.0059930,0.0053168,0.0068108,0.0048821,0.0062633,0.0106058,0.0069318,0.0141020,0.0455075,0.0104753,0.0041275,0.0063250,0.0118303
335,"Electrical equipment, appliances, and components",0.0048927,0.0063010,0.0019509,0.0052250,0.0029123,0.0021037,0.0260944,0.0142591,0.0050941,0.0178597,0.0162770,0.0451134,0.0249105,1.0799800,0.0214870,0.0201482,0.0069472,0.0102331,0.0049171,0.0043040,0.0028658,0.0063192,0.0046876,0.0020011,0.0042658,0.0085390,0.0017876,0.0018085,0.0023032,0.0024997,0.0022137,0.0019713,0.0058881,0.0044225,0.0029745,0.0036953,0.0041971,0.0032597,0.0068776,0.0019338,0.0017042,0.0063716,0.0053042,0.0018750,0.0024140,0.0009429,0.0018381,0.0012589,0.0042408,0.0028400,0.0029648,0.0028674,0.0058333,0.0024739,0.0050620,0.0147742,0.0052642,0.0018639,0.0024604,0.0029674,0.0038604,0.0018157,0.0032376,0.0036628,0.0053855,0.0064959,0.0051122,0.0050919,0.0024480,0.0032673,0.0122703
3361MV,"Motor vehicles, bodies and trailers, and parts",0.0098733,0.0059513,0.0028159,0.0139734,0.0049087,0.0029607,0.0132959,0.0174296,0.0129565,0.0260769,0.0157996,0.0548431,0.0118975,0.0167029,1.4405200,0.0371899,0.0131767,0.0093218,0.0107916,0.0079682,0.0050033,0.0131299,0.0079408,0.0030821,0.0063917,0.0091837,0.0058875,0.0088986,0.0097545,0.0034497,0.0067063,0.0032264,0.0062460,0.0067677,0.0417713,0.0179323,0.0044606,0.0142013,0.0120384,0.0058113,0.0027949,0.0038340,0.0043675,0.0030650,0.0036867,0.0013556,0.0027112,0.0007710,0.0055190,0.0051157,0.0016852,0.0018747,0.0052053,0.0043238,0.0108736,0.0336073,0.0072622,0.0032984,0.0041742,0.0034682,0.0099959,0.0038543,0.0040752,0.0042609,0.0061198,0.0402992,0.0155045,0.0020354,0.0239339,0.0076490,0.0078699
3364OT,Other transportation equipment,0.0015538,0.0027343,0.0006978,0.0030570,0.0011603,0.0012866,0.0019255,0.0032915,0.0024016,0.0062159,0.0035666,0.0054588,0.0025417,0.0032884,0.0054327,1.2489800,0.0023710,0.0021488,0.0019192,0.0016719,0.0014920,0.0027241,0.0018059,0.0006740,0.0016865,0.0021787,0.0012307,0.0010981,0.0010613,0.0011309,0.0013293,0.0104102,0.0300528,0.0253126,0.0017785,0.0022386,0.0019905,0.0066885,0.0011518,0.0015921,0.0017153,0.0018133,0.0017819,0.0013050,0.0019584,0.0007813,0.0015413,0.0001486,0.0014532,0.0011554,0.0008597,0.0010872,0.0035013,0.0019847,0.0013525,0.0026689,0.0011582,0.0010694,0.0011603,0.0010334,0.0014471,0.0014280,0.0015887,0.0015088,0.0012878,0.0018337,0.0482690,0.0027511,0.0010332,0.0009246,0.0028369
337,Furniture and related products,0.0005228,0.0003500,0.0004418,0.0006984,0.0002813,0.0004857,0.0131367,0.0146525,0.0008431,0.0006652,0.0006707,0.0023687,0.0025377,0.0007786,0.0023407,0.0008821,1.0415400,0.0030610,0.0005942,0.0009905,0.0008950,0.0012565,0.0005814,0.0004376,0.0005132,0.0028838,0.0006125,0.0011416,0.0003918,0.0002857,0.0010356,0.0003197,0.0009199,0.0004605,0.0004092,0.0004345,0.0008688,0.0005626,0.0003602,0.0003210,0.0005388,0.0006118,0.0037108,0.0003443,0.0004270,0.0001335,0.0003242,0.0039247,0.0011294,0.0006541,0.0002302,0.0001804,0.0005444,0.0003568,0.0003310,0.0005720,0.0004057,0.0005985,0.0004418,0.0003920,0.0010641,0.0047655,0.0023746,0.0005174,0.0019287,0.0006054,0.0004612,0.0003640,0.0007116,0.0004588,0.0022111
339,Miscellaneous manufacturing,0.0020290,0.0008311,0.0005380,0.0017086,0.0008507,0.0007308,0.0021770,0.0020348,0.0039086,0.0022540,0.0019403,0.0109143,0.0019542,0.0064099,0.0069962,0.0021275,0.0027297,1.0711300,0.0015840,0.0040864,0.0137043,0.0018771,0.0018909,0.0005700,0.0032508,0.0029456,0.0013148,0.0016161,0.0016588,0.0008860,0.0018724,0.0008209,0.0008702,0.0018223,0.0009864,0.0012624,0.0011661,0.0018803,0.0020840,0.0011595,0.0010591,0.0012825,0.0023362,0.0012255,0.0015020,0.0006273,0.0011443,0.0001737,0.0017919,0.0011411,0.0007513,0.0008375,0.0033000,0.0012258,0.0040415,0.0137022,0.0036821,0.0245016,0.0205305,0.0078579,0.0129111,0.0018892,0.0033592,0.0031933,0.0025479,0.0038388,0.0016915,0.0021448,0.0007313,0.0064852,0.0018246
311FT,Food and beverage and tobacco products,0.1109190,0.0105299,0.0008262,0.0014719,0.0013482,0.0018017,0.0016977,0.0059002,0.0043601,0.0030582,0.0025892,0.0025286,0.0016600,0.0023472,0.0028544,0.0017587,0.0038096,0.0034965,1.2516100,0.0124820,0.0417249,0.0099540,0.0135393,0.0015223,0.0140750,0.0085185,0.0019789,0.0011383,0.0025496,0.0013748,0.0015214,0.0025723,0.0012272,0.0025361,0.0015350,0.0011940,0.0010609,0.0017813,0.0011505,0.0024960,0.0023595,0.0013203,0.0030826,0.0035340,0.0023643,0.0015479,0.0021784,0.0002193,0.0036308,0.0016005,0.0018496,0.0020315,0.0034633,0.0022813,0.0028003,0.0033086,0.0312034,0.0029968,0.0202816,0.0329681,0.0337408,0.0093772,0.0231826,0.0238509,0.1373520,0.0028400,0.0045215,-0.0007792,0.0059184,0.0225584,0.0016718
