"Industry-by-Industry Total Requirements, After Redefinitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(in producers' prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Industries/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525, HS, ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81, GFGD, GFGN,GFE,GSLG,GSLE
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises
111CA,Farms,1.2041500,0.0468735,0.0005123,0.0014048,0.0009102,0.0008143,0.0031929,0.0239422,0.0020956,0.0013994,0.0012272,0.0015740,0.0008526,0.0014469,0.0026521,0.0013586,0.0067472,0.0057695,0.3283350,0.0722402,0.0255950,0.0090144,0.0050146,0.0005006,0.0125732,0.0073337,0.0009320,0.0092969,0.0024995,0.0009394,0.0011726,0.0003091,0.0010188,0.0007914,0.0008235,0.0004957,0.0007809,0.0011417,0.0004436,0.0010658,0.0012876,0.0004442,0.0005711,0.0008675,0.0000322,0.0006189,0.0001983,0.0001820,0.0018609,0.0008409,0.0007651,0.0008035,0.0017063,0.0008685,0.0018197,0.0013787,0.0104831,0.0016041,0.0049642,0.0101808,0.0105830,0.0041100,0.0099823,0.0074189,0.0404091,0.0011926,0.0009548,-0.0174011,0.0018684,0.0083894,0.0010592
113FF,"Forestry, fishing, and related activities",0.0825274,1.2278600,0.0005812,0.0023279,0.0008390,0.0006741,0.0088673,0.1920400,0.0027475,0.0021758,0.0016346,0.0027486,0.0014001,0.0026015,0.0038075,0.0016200,0.0238516,0.0065266,0.0350820,0.0073507,0.0048816,0.0472342,0.0075669,0.0005148,0.0036181,0.0147488,0.0009886,0.0013567,0.0029267,0.0005770,0.0009561,0.0007473,0.0051177,0.0008615,0.0009180,0.0005981,0.0012765,0.0013671,0.0006015,0.0019505,0.0017602,0.0008510,0.0015585,0.0006269,0.0005853,0.0005146,0.0004438,0.0004807,0.0018924,0.0014210,0.0005711,0.0005084,0.0011238,0.0006756,0.0009871,0.0011413,0.0021040,0.0011549,0.0017245,0.0025934,0.0029632,0.0010238,0.0029711,0.0041583,0.0131576,0.0009463,0.0007162,-0.0003816,0.0008364,0.0027971,0.0018380
211,Oil and gas extraction,0.0749820,0.0490239,1.2588600,0.0800523,0.0303183,0.2931190,0.0434391,0.0379198,0.0461454,0.0493445,0.0296423,0.0289233,0.0155503,0.0345488,0.0268637,0.0188432,0.0292403,0.0271070,0.0455067,0.0604813,0.0278895,0.0534318,0.0414316,0.7840450,0.1106640,0.0611652,0.0120004,0.0123599,0.0167607,0.0124134,0.0142052,0.1759760,0.0883315,0.1590660,0.1105800,0.0584751,0.2643530,0.0441546,0.0145612,0.0119166,0.0125676,0.0091377,0.0072892,0.0090655,0.0098965,0.0053178,0.0070640,0.0022818,0.0429391,0.0136514,0.0081736,0.0071056,0.0117678,0.0130452,0.0184469,0.0335321,0.0299966,0.0159793,0.0246507,0.0222229,0.0177349,0.0129602,0.0203094,0.0252877,0.0228847,0.0132171,0.0440946,0.0159226,0.0464247,0.0489395,0.1390670
212,"Mining, except oil and gas",0.0116971,0.0033063,0.0046258,1.1270200,0.0047410,0.0150443,0.0197283,0.0057890,0.0851915,0.1249040,0.0316735,0.0206928,0.0067148,0.0269197,0.0205483,0.0127528,0.0110779,0.0171187,0.0109604,0.0110901,0.0045871,0.0195591,0.0055259,0.0049395,0.0164133,0.0112055,0.0015160,0.0017564,0.0020217,0.0014433,0.0020802,0.0025208,0.0056174,0.0048648,0.0028288,0.0019671,0.0043021,0.0025112,0.0020082,0.0023719,0.0024479,0.0023926,0.0016378,0.0010885,0.0016501,0.0008776,0.0011689,0.0008917,0.0096753,0.0027868,0.0014086,0.0010753,0.0030012,0.0017852,0.0018802,0.0047955,0.0037545,0.0029115,0.0034685,0.0029977,0.0032149,0.0024429,0.0044062,0.0026783,0.0044550,0.0029485,0.0026009,0.0055044,0.0017869,0.0031202,0.0172487
213,Support activities for mining,0.0013233,0.0008253,0.0177568,0.0206555,1.0149800,0.0044520,0.0010969,0.0007622,0.0022929,0.0030594,0.0012055,0.0009863,0.0004414,0.0011663,0.0009656,0.0006463,0.0007444,0.0007968,0.0009400,0.0011375,0.0005420,0.0012073,0.0007612,0.0111066,0.0019189,0.0011742,0.0003107,0.0002672,0.0003166,0.0002568,0.0003143,0.0028636,0.0014194,0.0028330,0.0020150,0.0009198,0.0039039,0.0050940,0.0003407,0.0003332,0.0003417,0.0002228,0.0002019,0.0001724,0.0002414,0.0001123,0.0001640,0.0000552,0.0008229,0.0003069,0.0001751,0.0001503,0.0003269,0.0002504,0.0003450,0.0006805,0.0005297,0.0003197,0.0004507,0.0004006,0.0003715,0.0002877,0.0004081,0.0004430,0.0004571,0.0002835,0.0007222,0.0003511,0.0007244,0.0007733,0.0023596
22,Utilities,0.0315929,0.0100369,0.0229109,0.0352827,0.0082352,1.0167200,0.0150007,0.0284692,0.0553602,0.0570881,0.0317203,0.0237961,0.0144529,0.0266697,0.0251317,0.0184917,0.0244028,0.0200040,0.0346365,0.0421164,0.0271993,0.0624618,0.0278839,0.0202401,0.0393807,0.0362118,0.0114376,0.0138467,0.0269718,0.0182569,0.0199225,0.0106878,0.0094710,0.0392848,0.0133369,0.0146909,0.0178870,0.0148085,0.0234624,0.0105156,0.0133155,0.0121172,0.0072133,0.0079718,0.0120096,0.0065247,0.0085116,0.0011166,0.0974479,0.0127174,0.0114727,0.0067785,0.0127482,0.0147735,0.0094131,0.0145179,0.0673528,0.0152282,0.0218046,0.0254905,0.0199138,0.0155961,0.0229536,0.0297026,0.0269934,0.0151602,0.0104517,0.0105997,0.0192979,0.0206347,0.0165157
23,Construction,0.0141169,0.0058215,0.0258295,0.0235650,0.0105748,0.0222318,1.0055500,0.0087941,0.0110371,0.0132902,0.0087330,0.0074871,0.0049695,0.0076284,0.0071387,0.0055149,0.0081720,0.0066156,0.0100542,0.0097959,0.0068097,0.0116787,0.0090650,0.0210961,0.0096794,0.0096010,0.0061531,0.0068506,0.0103306,0.0078747,0.0112719,0.0091295,0.0208703,0.0137790,0.0093064,0.0153283,0.0703107,0.0142478,0.0100311,0.0055016,0.0078187,0.0107624,0.0039480,0.0091462,0.0087011,0.0039937,0.0068065,0.0403089,0.0683490,0.0069835,0.0077456,0.0040264,0.0082726,0.0067172,0.0054076,0.0062065,0.0117400,0.0084365,0.0090270,0.0120472,0.0126860,0.0086358,0.0096594,0.0122707,0.0109442,0.0104019,0.0115725,0.0115249,0.0213034,0.0159766,0.1345780
321,Wood products,0.0055868,0.0089694,0.0024082,0.0046974,0.0030487,0.0022859,0.0545973,1.3042100,0.0094079,0.0073250,0.0048675,0.0102017,0.0047809,0.0084048,0.0148608,0.0051007,0.1454160,0.0188676,0.0060269,0.0060896,0.0032193,0.0468921,0.0080528,0.0019737,0.0041563,0.0149165,0.0033726,0.0026497,0.0046247,0.0020100,0.0033389,0.0017779,0.0329920,0.0026096,0.0030956,0.0018950,0.0055498,0.0032973,0.0022289,0.0052593,0.0076887,0.0035005,0.0084904,0.0015248,0.0017632,0.0011012,0.0012797,0.0028668,0.0085564,0.0068825,0.0015023,0.0011172,0.0024909,0.0016097,0.0027498,0.0030032,0.0025202,0.0028383,0.0027267,0.0024313,0.0095379,0.0022700,0.0038972,0.0070247,0.0092213,0.0026947,0.0020748,0.0020287,0.0020902,0.0050964,0.0094166
327,Nonmetallic mineral products,0.0033540,0.0025138,0.0059469,0.0075400,0.0074107,0.0034512,0.0541688,0.0178804,1.1457900,0.0182356,0.0101986,0.0140439,0.0060358,0.0216444,0.0236088,0.0065943,0.0107786,0.0106442,0.0113409,0.0113654,0.0047398,0.0057486,0.0030535,0.0051110,0.0065071,0.0136078,0.0015871,0.0025197,0.0021358,0.0012317,0.0024770,0.0024438,0.0033634,0.0034033,0.0028262,0.0021747,0.0060142,0.0024899,0.0016692,0.0016387,0.0019947,0.0038205,0.0042013,0.0013650,0.0015620,0.0009056,0.0011429,0.0022795,0.0055646,0.0023942,0.0011893,0.0012521,0.0044499,0.0018534,0.0025742,0.0046194,0.0027061,0.0049491,0.0034883,0.0032961,0.0042568,0.0016609,0.0030332,0.0028557,0.0102635,0.0036264,0.0024750,0.0029958,0.0021572,0.0028777,0.0158535
