"Industry-by-Industry Total Requirements, After Redefinitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(in producers' prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Industries/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525, HS, ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81, GFGD, GFGN,GFE,GSLG,GSLE
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises
111CA,Farms,1.2040100,0.0536018,0.0005572,0.0016654,0.0008772,0.0007482,0.0037440,0.0282698,0.0020279,0.0014826,0.0012338,0.0015385,0.0009331,0.0014112,0.0022805,0.0012796,0.0062798,0.0056109,0.3373340,0.0447321,0.0202249,0.0089182,0.0049715,0.0004612,0.0108403,0.0065247,0.0009929,0.0158051,0.0032646,0.0008246,0.0013901,0.0020358,0.0011830,0.0014133,0.0009657,0.0004588,0.0008462,0.0012604,0.0005807,0.0012852,0.0010597,0.0006582,0.0004468,0.0011719,0.0006352,0.0007064,0.0006099,0.0002067,0.0020983,0.0009204,0.0009202,0.0010301,0.0019834,0.0009897,0.0021149,0.0013792,0.0124332,0.0016387,0.0047093,0.0107447,0.0120110,0.0043583,0.0108220,0.0078211,0.0446380,0.0013372,0.0012859,-0.0068048,0.0014863,0.0081374,0.0011745
113FF,"Forestry, fishing, and related activities",0.0755314,1.2304000,0.0006016,0.0023691,0.0007275,0.0005458,0.0094393,0.1957680,0.0027256,0.0021034,0.0015626,0.0027052,0.0014035,0.0024951,0.0035694,0.0016442,0.0243506,0.0064885,0.0330217,0.0050691,0.0038551,0.0438868,0.0072831,0.0004844,0.0030950,0.0146354,0.0010034,0.0018457,0.0032917,0.0005848,0.0010143,0.0010547,0.0048827,0.0009320,0.0009560,0.0004997,0.0012425,0.0014936,0.0007287,0.0022591,0.0015441,0.0008823,0.0010956,0.0007106,0.0007043,0.0005052,0.0005354,0.0004683,0.0018904,0.0014600,0.0005984,0.0005618,0.0011483,0.0006484,0.0009944,0.0010565,0.0022010,0.0011424,0.0015905,0.0024567,0.0030555,0.0009623,0.0031180,0.0040430,0.0137882,0.0009971,0.0007495,0.0003590,0.0006604,0.0027657,0.0018871
211,Oil and gas extraction,0.0568971,0.0385255,1.2917700,0.0612494,0.0214814,0.2488280,0.0364009,0.0308564,0.0363352,0.0385737,0.0237226,0.0247072,0.0136912,0.0288640,0.0214781,0.0160000,0.0242540,0.0216488,0.0351372,0.0506127,0.0230120,0.0422925,0.0390762,0.7947570,0.1087010,0.0522285,0.0092912,0.0115512,0.0138168,0.0098117,0.0115696,0.1231910,0.0649902,0.1319580,0.0844782,0.0431412,0.2565940,0.0331699,0.0134653,0.0103753,0.0080491,0.0076521,0.0038019,0.0079927,0.0089121,0.0041601,0.0063945,0.0017776,0.0319697,0.0105683,0.0064994,0.0059888,0.0093347,0.0095720,0.0170217,0.0310348,0.0247925,0.0135280,0.0200840,0.0174141,0.0148598,0.0098247,0.0162881,0.0203689,0.0180861,0.0108453,0.0306865,0.0131543,0.0389835,0.0407456,0.1403000
212,"Mining, except oil and gas",0.0099054,0.0026572,0.0042593,1.1313900,0.0038324,0.0095655,0.0181489,0.0048332,0.0783442,0.1104480,0.0267004,0.0178049,0.0059064,0.0221962,0.0178748,0.0119171,0.0098928,0.0133006,0.0094922,0.0091548,0.0037677,0.0184489,0.0048940,0.0041291,0.0127762,0.0090070,0.0012353,0.0017320,0.0016591,0.0011562,0.0017236,0.0020375,0.0047308,0.0042896,0.0023579,0.0013823,0.0035504,0.0022999,0.0018905,0.0023448,0.0018262,0.0020317,0.0009954,0.0010044,0.0015503,0.0007007,0.0011116,0.0007411,0.0077784,0.0023997,0.0011357,0.0009386,0.0024895,0.0013653,0.0015873,0.0037551,0.0029859,0.0023464,0.0027885,0.0023177,0.0026968,0.0020472,0.0038419,0.0022220,0.0038725,0.0025449,0.0023025,0.0055461,0.0012714,0.0027177,0.0143815
213,Support activities for mining,0.0009136,0.0005668,0.0148611,0.0243914,1.0122300,0.0030969,0.0009264,0.0005641,0.0022225,0.0029507,0.0010280,0.0008405,0.0003739,0.0009740,0.0008147,0.0005744,0.0006080,0.0006247,0.0006956,0.0008492,0.0004009,0.0009718,0.0006236,0.0091847,0.0015745,0.0008850,0.0002412,0.0002359,0.0002395,0.0001885,0.0002500,0.0017676,0.0009245,0.0021112,0.0014020,0.0005716,0.0031067,0.0045413,0.0003137,0.0002890,0.0002107,0.0001759,0.0001047,0.0001392,0.0002145,0.0000819,0.0001444,0.0000424,0.0005744,0.0002309,0.0001337,0.0001203,0.0002727,0.0001698,0.0002781,0.0005416,0.0003837,0.0002460,0.0003269,0.0002787,0.0002867,0.0002101,0.0003100,0.0003162,0.0003402,0.0002224,0.0004529,0.0002960,0.0005065,0.0005524,0.0020010
22,Utilities,0.0272482,0.0081160,0.0216127,0.0332976,0.0060377,1.0118300,0.0129762,0.0248711,0.0477891,0.0506956,0.0274289,0.0204932,0.0130509,0.0227467,0.0215647,0.0164700,0.0213828,0.0163072,0.0297172,0.0356081,0.0245773,0.0531318,0.0244968,0.0177887,0.0303135,0.0297388,0.0091677,0.0135904,0.0242175,0.0160470,0.0168666,0.0087273,0.0079796,0.0353362,0.0111707,0.0109449,0.0144785,0.0135704,0.0234323,0.0093956,0.0096779,0.0112823,0.0039688,0.0072605,0.0109915,0.0050952,0.0078936,0.0009148,0.0788321,0.0106221,0.0090835,0.0057083,0.0099977,0.0110187,0.0079929,0.0119662,0.0639118,0.0120837,0.0187305,0.0203349,0.0164781,0.0125134,0.0199365,0.0264699,0.0229377,0.0125726,0.0096656,0.0093245,0.0144403,0.0190397,0.0149666
23,Construction,0.0127296,0.0055921,0.0244181,0.0257148,0.0086129,0.0168799,1.0053400,0.0089908,0.0111525,0.0137289,0.0089262,0.0076321,0.0051921,0.0075728,0.0070834,0.0057046,0.0086519,0.0062624,0.0095497,0.0092358,0.0064816,0.0116065,0.0094903,0.0189295,0.0088507,0.0093635,0.0054214,0.0074162,0.0099207,0.0075754,0.0106896,0.0076019,0.0227319,0.0128448,0.0083746,0.0115118,0.0667576,0.0159341,0.0106678,0.0055085,0.0062878,0.0114767,0.0025409,0.0103692,0.0092263,0.0035627,0.0077068,0.0362802,0.0638993,0.0065221,0.0070111,0.0038538,0.0079887,0.0059994,0.0050232,0.0056346,0.0105851,0.0075141,0.0089444,0.0103299,0.0119583,0.0075799,0.0088276,0.0130550,0.0101283,0.0103474,0.0114686,0.0103391,0.0166447,0.0153831,0.1330630
321,Wood products,0.0050544,0.0080366,0.0025337,0.0049187,0.0026242,0.0018162,0.0575657,1.3084300,0.0097292,0.0072477,0.0048260,0.0103047,0.0048116,0.0081850,0.0138553,0.0052954,0.1472340,0.0189798,0.0056114,0.0060109,0.0031024,0.0458210,0.0080678,0.0019446,0.0037020,0.0144787,0.0033933,0.0030427,0.0048384,0.0020758,0.0034693,0.0018578,0.0308550,0.0027087,0.0031560,0.0015679,0.0054566,0.0037108,0.0026194,0.0064481,0.0072598,0.0036146,0.0060137,0.0016857,0.0019258,0.0010627,0.0014345,0.0027436,0.0083215,0.0071017,0.0014751,0.0011634,0.0024070,0.0014784,0.0026279,0.0027968,0.0023873,0.0027761,0.0026212,0.0022237,0.0096736,0.0020376,0.0040452,0.0066139,0.0092719,0.0028223,0.0021179,0.0019480,0.0017285,0.0053315,0.0096971
327,Nonmetallic mineral products,0.0029657,0.0023286,0.0057076,0.0079722,0.0060161,0.0025833,0.0529527,0.0172315,1.1451700,0.0170546,0.0096932,0.0134030,0.0059879,0.0204008,0.0222410,0.0065358,0.0111338,0.0106701,0.0112720,0.0119232,0.0044955,0.0052236,0.0028690,0.0045197,0.0059111,0.0123927,0.0015661,0.0027771,0.0022000,0.0011999,0.0025459,0.0022194,0.0032422,0.0032406,0.0026441,0.0016918,0.0055381,0.0026562,0.0019818,0.0016663,0.0015914,0.0037518,0.0027192,0.0014756,0.0017050,0.0008553,0.0012691,0.0020156,0.0051098,0.0022024,0.0011197,0.0012628,0.0041211,0.0017402,0.0024904,0.0043559,0.0026787,0.0048858,0.0032829,0.0031283,0.0040770,0.0015003,0.0029708,0.0028246,0.0103078,0.0036119,0.0023682,0.0030003,0.0016943,0.0027825,0.0149144
