"Industry-by-Industry Total Requirements, After Redefinitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(in producers' prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Industries/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises
111CA,Farms,1.2606600,0.0279907,0.0006200,0.0022364,0.0017494,0.0008461,0.0033407,0.0222877,0.0039052,0.0027747,0.0029892,0.0029315,0.0009440,0.0026232,0.0037926,0.0019994,0.0073092,0.0052628,0.3569490,0.0512219,0.0204945,0.0121487,0.0082208,0.0008824,0.0292437,0.0139205,0.0010732,0.0020873,0.0024033,0.0012221,0.0014347,0.0010370,0.0012817,0.0015832,0.0012028,0.0007700,0.0005161,0.0021523,0.0010171,0.0008779,0.0005686,0.0012432,0.0019152,0.0013730,0.0009405,0.0005487,0.0009864,0.0002569,0.0020621,0.0013035,0.0011433,0.0007341,0.0025001,0.0016857,0.0024284,0.0024834,0.0135641,0.0023397,0.0077457,0.0129471,0.0113037,0.0047570,0.0124763,0.0085786,0.0455909,0.0018578,0.0023432,-0.0031467,0.0066030,0.0088017,0.0017080
113FF,"Forestry, fishing, and related activities",0.0810381,1.1288800,0.0002391,0.0014883,0.0007095,0.0003438,0.0044724,0.1592500,0.0019667,0.0020152,0.0016816,0.0020504,0.0005397,0.0019114,0.0029101,0.0011925,0.0180486,0.0041137,0.0318830,0.0050264,0.0057196,0.0314691,0.0039911,0.0003430,0.0034374,0.0124893,0.0006780,0.0006525,0.0027335,0.0005142,0.0007806,0.0004492,0.0034422,0.0006677,0.0006856,0.0004171,0.0004737,0.0011310,0.0006874,0.0005177,0.0003374,0.0006975,0.0020472,0.0004679,0.0004831,0.0002163,0.0004223,0.0004076,0.0011726,0.0013816,0.0004162,0.0002747,0.0009113,0.0006057,0.0008794,0.0010755,0.0019619,0.0007777,0.0017348,0.0024232,0.0020400,0.0008584,0.0027743,0.0031166,0.0115862,0.0008199,0.0006003,0.0001729,0.0014393,0.0019896,0.0012218
211,Oil and gas extraction,0.0310671,0.0071690,1.0626900,0.0277031,0.0124556,0.1026140,0.0211897,0.0150759,0.0185558,0.0226752,0.0135766,0.0124218,0.0032247,0.0147594,0.0109423,0.0077677,0.0131710,0.0105523,0.0189104,0.0168196,0.0095248,0.0219298,0.0197107,0.5788560,0.0363441,0.0204949,0.0043348,0.0055961,0.0066424,0.0058323,0.0059713,0.1045750,0.0468070,0.0720483,0.0807885,0.0416612,0.0365036,0.0310867,0.0093095,0.0030457,0.0016464,0.0042989,0.0063245,0.0032656,0.0044689,0.0011391,0.0033832,0.0013061,0.0147967,0.0058060,0.0028990,0.0022721,0.0052469,0.0049788,0.0089525,0.0184285,0.0103227,0.0052681,0.0090142,0.0092278,0.0075758,0.0065873,0.0094026,0.0074351,0.0079916,0.0068345,0.0169267,0.0040905,0.0297001,0.0205691,0.0608101
212,"Mining, except oil and gas",0.0124088,0.0013376,0.0017822,1.1141700,0.0046080,0.0159642,0.0176954,0.0060490,0.1129150,0.1220420,0.0285850,0.0170665,0.0036098,0.0233457,0.0152400,0.0105712,0.0109893,0.0128396,0.0097046,0.0078111,0.0035752,0.0180147,0.0043098,0.0034817,0.0105799,0.0093982,0.0011016,0.0015465,0.0018184,0.0014744,0.0018684,0.0017334,0.0050291,0.0034417,0.0022345,0.0017688,0.0019496,0.0025692,0.0027631,0.0008440,0.0006524,0.0027107,0.0031810,0.0007026,0.0013117,0.0003496,0.0009926,0.0010006,0.0082420,0.0033779,0.0009204,0.0007077,0.0029634,0.0017515,0.0019620,0.0056934,0.0034422,0.0020770,0.0025971,0.0027535,0.0029958,0.0032585,0.0066147,0.0022033,0.0039047,0.0034392,0.0023946,0.0029504,0.0021273,0.0027393,0.0204752
213,Support activities for mining,0.0007977,0.0002083,0.0191865,0.0140939,1.0125700,0.0021442,0.0007629,0.0005129,0.0018709,0.0020767,0.0009152,0.0007107,0.0001758,0.0007807,0.0006476,0.0004607,0.0005715,0.0004790,0.0005854,0.0004908,0.0002938,0.0007697,0.0005057,0.0105023,0.0008537,0.0006242,0.0002194,0.0002064,0.0002008,0.0002165,0.0002391,0.0023567,0.0010111,0.0019877,0.0019852,0.0008442,0.0007968,0.0055436,0.0003473,0.0001242,0.0000733,0.0001893,0.0002953,0.0000928,0.0001809,0.0000414,0.0001285,0.0000458,0.0004186,0.0002202,0.0001024,0.0000719,0.0002332,0.0001539,0.0002492,0.0005537,0.0002785,0.0001626,0.0002548,0.0002428,0.0002423,0.0002443,0.0003117,0.0002042,0.0002599,0.0002249,0.0004155,0.0001386,0.0006250,0.0004392,0.0014751
22,Utilities,0.0183590,0.0028442,0.0038822,0.0176020,0.0047804,1.0082000,0.0080618,0.0191019,0.0287753,0.0300586,0.0192607,0.0134425,0.0041643,0.0140523,0.0142481,0.0101631,0.0155245,0.0116529,0.0185112,0.0203620,0.0142529,0.0369367,0.0159049,0.0056087,0.0194862,0.0220179,0.0069090,0.0111348,0.0198852,0.0138398,0.0141319,0.0045134,0.0052788,0.0264877,0.0075174,0.0167968,0.0035906,0.0106485,0.0290966,0.0036893,0.0029132,0.0092265,0.0107129,0.0036961,0.0069874,0.0018168,0.0052085,0.0017095,0.0733349,0.0077400,0.0054301,0.0039242,0.0090159,0.0117602,0.0074107,0.0133881,0.0417498,0.0097067,0.0151202,0.0201157,0.0152621,0.0133615,0.0209725,0.0180568,0.0154082,0.0134429,0.0054385,0.0045380,0.0218082,0.0130492,0.0101323
23,Construction,0.0142699,0.0027380,0.0184062,0.0203840,0.0110642,0.0193540,1.0048500,0.0084407,0.0099848,0.0120395,0.0078961,0.0062202,0.0021526,0.0059299,0.0069652,0.0047302,0.0071085,0.0055445,0.0094358,0.0087093,0.0069995,0.0107982,0.0079434,0.0267477,0.0066588,0.0076952,0.0057592,0.0083024,0.0116006,0.0090286,0.0119553,0.0093123,0.0167850,0.0138527,0.0103645,0.0196152,0.0359082,0.0184102,0.0161836,0.0027055,0.0023654,0.0086973,0.0085281,0.0055614,0.0072284,0.0016094,0.0055124,0.0380588,0.0800870,0.0061985,0.0053315,0.0030343,0.0076412,0.0075959,0.0057423,0.0070158,0.0136275,0.0078844,0.0086821,0.0144543,0.0137470,0.0107610,0.0119358,0.0118888,0.0097741,0.0136983,0.0102144,0.0084951,0.0280542,0.0172597,0.1501760
321,Wood products,0.0057092,0.0048142,0.0010234,0.0038474,0.0026218,0.0012574,0.0303841,1.2560100,0.0073977,0.0075145,0.0056396,0.0079079,0.0020566,0.0072929,0.0119883,0.0041321,0.1236910,0.0117386,0.0054908,0.0048765,0.0034070,0.0451091,0.0055486,0.0014575,0.0029356,0.0122530,0.0029828,0.0022578,0.0047798,0.0019958,0.0031634,0.0013614,0.0253800,0.0022798,0.0026586,0.0015967,0.0021816,0.0031982,0.0028181,0.0014310,0.0015870,0.0029432,0.0123882,0.0009227,0.0015664,0.0004525,0.0011716,0.0028208,0.0057300,0.0080963,0.0009558,0.0006683,0.0021666,0.0016301,0.0026735,0.0033180,0.0022129,0.0018761,0.0022491,0.0018999,0.0061409,0.0020443,0.0040075,0.0051822,0.0069164,0.0024235,0.0016570,0.0014771,0.0023986,0.0037855,0.0065104
327,Nonmetallic mineral products,0.0033800,0.0012075,0.0021897,0.0082261,0.0066740,0.0018880,0.0418326,0.0198567,1.1307100,0.0221819,0.0114213,0.0136384,0.0027458,0.0179282,0.0217316,0.0063700,0.0122730,0.0090250,0.0113186,0.0088638,0.0051521,0.0077496,0.0033573,0.0030303,0.0057979,0.0145762,0.0012323,0.0026881,0.0019987,0.0014264,0.0023455,0.0015439,0.0028836,0.0025689,0.0022892,0.0019297,0.0024035,0.0027515,0.0024730,0.0008469,0.0005596,0.0041505,0.0083321,0.0009654,0.0015534,0.0004417,0.0011953,0.0019340,0.0049112,0.0032076,0.0009815,0.0008122,0.0044765,0.0018583,0.0028841,0.0046107,0.0026944,0.0033869,0.0040568,0.0030927,0.0037869,0.0018511,0.0038739,0.0022813,0.0088183,0.0035909,0.0021236,0.0019998,0.0025740,0.0025287,0.0148900
331,Primary metals,0.0109185,0.0041039,0.0107231,0.0254109,0.0199576,0.0041523,0.0322276,0.0259032,0.0258940,1.3982300,0.2947260,0.1648030,0.0331702,0.2304720,0.1332420,0.0961710,0.0861546,0.1071540,0.0220670,0.0163138,0.0102006,0.0262263,0.0134471,0.0076447,0.0099417,0.0300303,0.0034072,0.0048288,0.0042037,0.0037128,0.0047719,0.0045529,0.0269801,0.0153118,0.0098602,0.0060857,0.0122094,0.0115908,0.0084374,0.0029133,0.0015663,0.0127876,0.0112464,0.0019382,0.0033165,0.0009590,0.0025857,0.0018772,0.0099512,0.0100363,0.0023872,0.0026418,0.0083130,0.0047629,0.0070233,0.0375389,0.0079798,0.0057465,0.0071169,0.0056606,0.0086241,0.0042594,0.0099373,0.0054152,0.0098785,0.0140858,0.0167715,0.0042122,0.0070119,0.0054551,0.0178032
332,Fabricated metal products,0.0203000,0.0072618,0.0102579,0.0260315,0.0182455,0.0062346,0.0635438,0.0479140,0.0373118,0.0804248,1.1509200,0.1277860,0.0307545,0.1062600,0.1159210,0.0838054,0.0706567,0.0548117,0.0349629,0.0248675,0.0179947,0.0502515,0.0274751,0.0087020,0.0206665,0.0503471,0.0048432,0.0076099,0.0060068,0.0046632,0.0074108,0.0069499,0.0139814,0.0371025,0.0170754,0.0109215,0.0395618,0.0171982,0.0128003,0.0055555,0.0020214,0.0264068,0.0178674,0.0028766,0.0048771,0.0014820,0.0037756,0.0034380,0.0116111,0.0115126,0.0032901,0.0042271,0.0098445,0.0072282,0.0098686,0.0468648,0.0096687,0.0068816,0.0090101,0.0069771,0.0139905,0.0055196,0.0118075,0.0098770,0.0187296,0.0169441,0.0259459,0.0057308,0.0125008,0.0082790,0.0305044
333,Machinery,0.0148737,0.0057149,0.0103145,0.0629378,0.0564813,0.0060627,0.0253705,0.0134678,0.0140310,0.0312914,0.0268725,1.1147400,0.0047828,0.0302438,0.0758705,0.0289964,0.0105270,0.0186398,0.0132671,0.0069048,0.0053282,0.0173681,0.0211847,0.0068627,0.0106051,0.0174829,0.0028115,0.0044497,0.0039464,0.0028933,0.0040913,0.0033960,0.0054416,0.0083083,0.0075499,0.0051540,0.0070336,0.0113974,0.0149398,0.0022175,0.0011700,0.0052546,0.0066335,0.0012955,0.0023286,0.0007354,0.0017317,0.0014275,0.0076671,0.0058853,0.0016459,0.0023882,0.0047739,0.0029779,0.0094620,0.0511661,0.0128430,0.0032934,0.0044272,0.0040948,0.0043064,0.0031814,0.0045992,0.0032147,0.0063290,0.0121894,0.0072700,0.0020910,0.0053278,0.0053702,0.0126961
334,Computer and electronic products,0.0057219,0.0022589,0.0022885,0.0081430,0.0079281,0.0027377,0.0134958,0.0187987,0.0173962,0.0226805,0.0269933,0.0436770,1.1285900,0.0495964,0.0613710,0.1221170,0.0276239,0.0295759,0.0111599,0.0198738,0.0143850,0.0285425,0.0227261,0.0030152,0.0126317,0.0214922,0.0074910,0.0087775,0.0056501,0.0052259,0.0068338,0.0041959,0.0082393,0.0102703,0.0064562,0.0051521,0.0034710,0.0062351,0.0069258,0.0112980,0.0055200,0.0856762,0.0335451,0.0079565,0.0097993,0.0018892,0.0100544,0.0009834,0.0077122,0.0069860,0.0070854,0.0127882,0.0135319,0.0202900,0.0118847,0.0243797,0.0089915,0.0094384,0.0081798,0.0065386,0.0069432,0.0055864,0.0068449,0.0067172,0.0072098,0.0170603,0.0630560,0.0092507,0.0055790,0.0066993,0.0152354
335,"Electrical equipment, appliances, and components",0.0040631,0.0043534,0.0015889,0.0055690,0.0050583,0.0014487,0.0258897,0.0169354,0.0049062,0.0181371,0.0177298,0.0485402,0.0134006,1.0733300,0.0206757,0.0204586,0.0080110,0.0121204,0.0049561,0.0043106,0.0033445,0.0078150,0.0051366,0.0016883,0.0035768,0.0089426,0.0015464,0.0021813,0.0019497,0.0048684,0.0022645,0.0015661,0.0051896,0.0043285,0.0029492,0.0029411,0.0024380,0.0032759,0.0060816,0.0011399,0.0006845,0.0089542,0.0051724,0.0010826,0.0018512,0.0005640,0.0014495,0.0013091,0.0044734,0.0038090,0.0024142,0.0025014,0.0052700,0.0024702,0.0046533,0.0133139,0.0060032,0.0017399,0.0025595,0.0040610,0.0031847,0.0020516,0.0037829,0.0038421,0.0046946,0.0052776,0.0057802,0.0037646,0.0028679,0.0030807,0.0107296
3361MV,"Motor vehicles, bodies and trailers, and parts",0.0084182,0.0041294,0.0019914,0.0130544,0.0074368,0.0018858,0.0124895,0.0141248,0.0103843,0.0205484,0.0143760,0.0483264,0.0049240,0.0129627,1.3588900,0.0293061,0.0128892,0.0094298,0.0095754,0.0068671,0.0056727,0.0126944,0.0070603,0.0023628,0.0047992,0.0084489,0.0042994,0.0093116,0.0087536,0.0030062,0.0069336,0.0026516,0.0051081,0.0066804,0.0316908,0.0105550,0.0021358,0.0131411,0.0121587,0.0026038,0.0010300,0.0051466,0.0042185,0.0019130,0.0026579,0.0007661,0.0019622,0.0007088,0.0050327,0.0061344,0.0014570,0.0014045,0.0049608,0.0041848,0.0092967,0.0325057,0.0083639,0.0028684,0.0044522,0.0033066,0.0084736,0.0047046,0.0037544,0.0032505,0.0052951,0.0368857,0.0150745,0.0016244,0.0183198,0.0071130,0.0060383
3364OT,Other transportation equipment,0.0018750,0.0008992,0.0006762,0.0042031,0.0027841,0.0010913,0.0029893,0.0033462,0.0030129,0.0069791,0.0041641,0.0080586,0.0014309,0.0046597,0.0132687,1.2361700,0.0036202,0.0030190,0.0023899,0.0041151,0.0044318,0.0036663,0.0024557,0.0008215,0.0016663,0.0030386,0.0013539,0.0018050,0.0012999,0.0013568,0.0017830,0.0092515,0.0262465,0.0254109,0.0028280,0.0019113,0.0010564,0.0097292,0.0018834,0.0009402,0.0006779,0.0021872,0.0025246,0.0008987,0.0016917,0.0004576,0.0013447,0.0002004,0.0014695,0.0016988,0.0009108,0.0008255,0.0041137,0.0022483,0.0018594,0.0040228,0.0016439,0.0011807,0.0015423,0.0013089,0.0013674,0.0016137,0.0017467,0.0014494,0.0015883,0.0028898,0.1009490,0.0022655,0.0022517,0.0011527,0.0027317
