"Industry-by-Industry Total Requirements, After Redefinitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(in producers' prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Industries/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525, HS, ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81, GFGD, GFGN,GFE,GSLG,GSLE
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises
111CA,Farms,1.2190100,0.0393850,0.0007652,0.0025630,0.0010096,0.0009138,0.0037490,0.0285043,0.0035461,0.0024075,0.0024140,0.0024146,0.0011708,0.0023226,0.0033107,0.0015038,0.0068051,0.0059313,0.3787460,0.0232697,0.0151484,0.0117243,0.0087367,0.0013238,0.0270718,0.0136742,0.0013304,0.0049219,0.0044676,0.0010665,0.0016380,0.0022259,0.0013516,0.0015860,0.0012706,0.0007425,0.0006079,0.0018717,0.0010260,0.0011893,0.0005582,0.0010263,0.0021465,0.0013801,0.0012327,0.0012148,0.0010861,0.0002286,0.0019624,0.0013280,0.0010973,0.0011451,0.0025356,0.0016156,0.0028375,0.0021737,0.0140733,0.0023827,0.0061571,0.0108234,0.0115919,0.0040950,0.0098936,0.0063692,0.0500623,0.0017128,0.0022231,-0.0021745,0.0084657,0.0080801,0.0017966
113FF,"Forestry, fishing, and related activities",0.0708817,1.1222700,0.0003219,0.0015945,0.0004246,0.0004071,0.0043587,0.1722450,0.0024791,0.0021047,0.0016837,0.0023835,0.0008946,0.0020976,0.0038944,0.0013098,0.0212498,0.0061021,0.0330651,0.0034707,0.0045291,0.0389867,0.0058863,0.0004552,0.0043246,0.0239978,0.0009095,0.0009757,0.0035801,0.0006339,0.0009684,0.0007074,0.0029391,0.0007605,0.0008113,0.0004786,0.0005308,0.0014102,0.0008799,0.0008691,0.0003990,0.0007894,0.0029808,0.0005458,0.0006903,0.0005388,0.0005412,0.0002726,0.0012611,0.0014513,0.0004630,0.0004691,0.0011541,0.0007079,0.0009705,0.0012425,0.0022492,0.0010408,0.0017196,0.0025839,0.0025523,0.0009077,0.0025791,0.0029972,0.0136930,0.0010453,0.0007276,0.0004969,0.0019649,0.0022651,0.0013608
211,Oil and gas extraction,0.0835818,0.0337085,1.1134900,0.0547364,0.0147485,0.1440220,0.0525873,0.0360549,0.0450424,0.0511517,0.0301630,0.0272303,0.0103478,0.0317345,0.0279202,0.0163419,0.0315800,0.0246324,0.0488141,0.0485872,0.0188169,0.0520001,0.0432256,0.7655710,0.0782362,0.0557432,0.0114930,0.0136919,0.0157781,0.0147197,0.0127919,0.1843440,0.1171590,0.1566810,0.1714240,0.1048510,0.1280960,0.0591731,0.0206274,0.0085719,0.0034818,0.0083550,0.0138919,0.0073301,0.0102210,0.0046118,0.0074082,0.0026691,0.0276008,0.0121868,0.0054394,0.0061474,0.0114130,0.0131071,0.0147149,0.0352752,0.0220249,0.0129814,0.0193817,0.0190016,0.0185149,0.0133645,0.0213560,0.0170197,0.0215507,0.0140841,0.0547584,0.0094878,0.0650248,0.0544402,0.1099520
212,"Mining, except oil and gas",0.0120237,0.0033302,0.0044255,1.1051600,0.0034597,0.0197048,0.0206144,0.0083723,0.1151990,0.1759700,0.0498149,0.0306413,0.0076656,0.0402650,0.0303732,0.0169172,0.0181649,0.0182714,0.0118355,0.0111302,0.0040287,0.0231898,0.0066875,0.0069732,0.0145102,0.0132344,0.0018997,0.0023063,0.0028261,0.0022904,0.0026529,0.0033599,0.0085491,0.0055537,0.0039257,0.0028012,0.0031840,0.0034760,0.0043214,0.0017294,0.0008778,0.0037900,0.0051464,0.0010316,0.0020871,0.0010090,0.0015064,0.0010276,0.0113485,0.0040795,0.0012303,0.0013429,0.0042885,0.0026422,0.0026925,0.0083456,0.0050467,0.0030264,0.0035961,0.0035885,0.0047643,0.0041125,0.0098336,0.0029253,0.0056940,0.0047201,0.0034274,0.0058808,0.0038204,0.0036308,0.0261115
213,Support activities for mining,0.0014999,0.0006475,0.0165113,0.0188846,1.0157400,0.0024915,0.0012811,0.0008364,0.0027126,0.0038254,0.0016296,0.0012161,0.0003807,0.0013820,0.0012277,0.0007136,0.0009705,0.0007952,0.0010418,0.0009931,0.0004083,0.0013057,0.0008482,0.0114311,0.0014647,0.0011762,0.0003195,0.0003185,0.0003324,0.0003461,0.0003175,0.0031895,0.0019861,0.0030268,0.0030159,0.0016743,0.0020592,0.0054090,0.0005106,0.0002462,0.0001015,0.0002623,0.0004517,0.0001502,0.0002801,0.0001124,0.0001952,0.0000646,0.0006394,0.0003213,0.0001369,0.0001455,0.0003414,0.0002803,0.0003222,0.0008087,0.0004588,0.0002849,0.0003960,0.0003802,0.0004359,0.0003433,0.0005378,0.0003395,0.0004879,0.0003489,0.0009414,0.0002736,0.0010963,0.0008980,0.0021769
22,Utilities,0.0167820,0.0056267,0.0105362,0.0153663,0.0030086,1.0072600,0.0097964,0.0188167,0.0372301,0.0427990,0.0255554,0.0178599,0.0070943,0.0196084,0.0192747,0.0113525,0.0177965,0.0134276,0.0200753,0.0211538,0.0127054,0.0401195,0.0180509,0.0149543,0.0240028,0.0216753,0.0090859,0.0121407,0.0246010,0.0193252,0.0164202,0.0081211,0.0080759,0.0270495,0.0099310,0.0141136,0.0051218,0.0103971,0.0336520,0.0055679,0.0031738,0.0097138,0.0118507,0.0044332,0.0088346,0.0044735,0.0062875,0.0019661,0.0895919,0.0085073,0.0057191,0.0050638,0.0105605,0.0150636,0.0075236,0.0147323,0.0520943,0.0108802,0.0154410,0.0205311,0.0198046,0.0138199,0.0256829,0.0183887,0.0197763,0.0144401,0.0070137,0.0074973,0.0281410,0.0147652,0.0147294
23,Construction,0.0124990,0.0042193,0.0134134,0.0120771,0.0052083,0.0212741,1.0049600,0.0080300,0.0104746,0.0122944,0.0086599,0.0072010,0.0047163,0.0075139,0.0073287,0.0050819,0.0074131,0.0058699,0.0096801,0.0095741,0.0082804,0.0110591,0.0084490,0.0178944,0.0073222,0.0078193,0.0064389,0.0075249,0.0122048,0.0108653,0.0123444,0.0087597,0.0172208,0.0142548,0.0096858,0.0237776,0.0308706,0.0151053,0.0185143,0.0040456,0.0025068,0.0090020,0.0078224,0.0055897,0.0078698,0.0034377,0.0057585,0.0368940,0.0905503,0.0065068,0.0051880,0.0038083,0.0084605,0.0083196,0.0057691,0.0093953,0.0154025,0.0083023,0.0086335,0.0142174,0.0173929,0.0105005,0.0133628,0.0098180,0.0107171,0.0142197,0.0102033,0.0097795,0.0325763,0.0172778,0.1462130
321,Wood products,0.0030487,0.0058683,0.0008882,0.0023680,0.0011354,0.0011048,0.0249835,1.2381100,0.0067814,0.0060156,0.0039325,0.0063212,0.0023502,0.0050826,0.0108660,0.0031603,0.1227550,0.0108925,0.0044346,0.0039301,0.0021406,0.0469214,0.0060775,0.0010521,0.0024612,0.0094589,0.0026055,0.0020318,0.0042298,0.0019652,0.0028391,0.0012856,0.0187622,0.0017085,0.0019734,0.0013260,0.0015252,0.0023808,0.0025835,0.0018039,0.0014782,0.0025557,0.0163713,0.0009058,0.0017735,0.0008172,0.0012588,0.0015263,0.0054759,0.0067547,0.0008673,0.0008071,0.0021404,0.0014802,0.0022032,0.0028909,0.0021478,0.0017156,0.0019464,0.0016860,0.0071862,0.0018442,0.0038368,0.0048273,0.0076629,0.0021424,0.0015242,0.0018012,0.0023817,0.0034083,0.0054055
327,Nonmetallic mineral products,0.0026835,0.0017889,0.0027955,0.0076221,0.0033655,0.0022951,0.0400296,0.0162170,1.1267300,0.0245059,0.0127038,0.0138981,0.0042033,0.0219210,0.0248629,0.0062567,0.0114362,0.0088687,0.0100762,0.0086359,0.0039173,0.0065405,0.0028766,0.0036650,0.0045864,0.0112296,0.0014422,0.0029528,0.0022888,0.0015616,0.0024782,0.0019304,0.0030104,0.0027800,0.0024755,0.0021172,0.0023697,0.0023306,0.0029176,0.0011939,0.0005561,0.0038681,0.0108641,0.0009999,0.0018233,0.0009119,0.0013359,0.0016064,0.0050647,0.0027245,0.0009648,0.0011472,0.0050153,0.0019073,0.0026536,0.0044865,0.0028699,0.0033686,0.0041335,0.0031315,0.0044402,0.0018122,0.0040480,0.0019234,0.0098153,0.0037006,0.0022564,0.0024028,0.0031564,0.0023799,0.0152972
