"Industry-by-Industry Total Requirements, After Redefinitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(in producers' prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Industries/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525, HS, ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81, GFGD, GFGN,GFE,GSLG,GSLE
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises
111CA,Farms,1.2267400,0.0656647,0.0007432,0.0015630,0.0010097,0.0009930,0.0037121,0.0375791,0.0022949,0.0015723,0.0013715,0.0017343,0.0012876,0.0015937,0.0031223,0.0013646,0.0078016,0.0058974,0.3086470,0.0604293,0.0242773,0.0099169,0.0054422,0.0009128,0.0115796,0.0061311,0.0009980,0.0102994,0.0033769,0.0006876,0.0015255,0.0031562,0.0013822,0.0016893,0.0011312,0.0005605,0.0011259,0.0013804,0.0004290,0.0013344,0.0010236,0.0006745,0.0015749,0.0010449,0.0008299,0.0007715,0.0008148,0.0002598,0.0018114,0.0007878,0.0011431,0.0012289,0.0017691,0.0011692,0.0025350,0.0012939,0.0213152,0.0015942,0.0036545,0.0095431,0.0119549,0.0014189,0.0069547,0.0086555,0.0488471,0.0012182,0.0012184,-0.0038785,0.0012812,0.0070808,0.0010934
113FF,"Forestry, fishing, and related activities",0.0897369,1.2857500,0.0007896,0.0023781,0.0009754,0.0007746,0.0109798,0.2418560,0.0041068,0.0026114,0.0019965,0.0032585,0.0021415,0.0029322,0.0042798,0.0018494,0.0293304,0.0071911,0.0349831,0.0069759,0.0042762,0.0485126,0.0108774,0.0007935,0.0039539,0.0127902,0.0010761,0.0016432,0.0036025,0.0006891,0.0011253,0.0014892,0.0057700,0.0011414,0.0011497,0.0008788,0.0013725,0.0017501,0.0005941,0.0029899,0.0018814,0.0011199,0.0039899,0.0008221,0.0010047,0.0006060,0.0008409,0.0008531,0.0018917,0.0013314,0.0008809,0.0008093,0.0012547,0.0008863,0.0013227,0.0010956,0.0038530,0.0012411,0.0017643,0.0028452,0.0037595,0.0008555,0.0033607,0.0045957,0.0162618,0.0010359,0.0009041,0.0004736,0.0006754,0.0032446,0.0019854
211,Oil and gas extraction,0.0276684,0.0130722,1.1103600,0.0207530,0.0117777,0.1299710,0.0166281,0.0131515,0.0150427,0.0200938,0.0116750,0.0109084,0.0082566,0.0151380,0.0100030,0.0075384,0.0105984,0.0095266,0.0154727,0.0186087,0.0115523,0.0142312,0.0179124,0.6254550,0.0334541,0.0188805,0.0039114,0.0063533,0.0075881,0.0053060,0.0055824,0.0740904,0.0291338,0.0359503,0.0363525,0.0334696,0.1308980,0.0127564,0.0045526,0.0045806,0.0042920,0.0042433,0.0054644,0.0042053,0.0055020,0.0020745,0.0043016,0.0008013,0.0160601,0.0043238,0.0040263,0.0041659,0.0044401,0.0037528,0.0095947,0.0242714,0.0130017,0.0057013,0.0087073,0.0082049,0.0069333,0.0052846,0.0085240,0.0099225,0.0087600,0.0044207,0.0098682,0.0038402,0.0097751,0.0207649,0.0657300
212,"Mining, except oil and gas",0.0114772,0.0028723,0.0051878,1.1035600,0.0039832,0.0242215,0.0167046,0.0054342,0.0733113,0.0983134,0.0210442,0.0132412,0.0062811,0.0187900,0.0149089,0.0091727,0.0086379,0.0087337,0.0083133,0.0093584,0.0046421,0.0118448,0.0053164,0.0071724,0.0150532,0.0091392,0.0011208,0.0016348,0.0019464,0.0013541,0.0016482,0.0021255,0.0043963,0.0039869,0.0024054,0.0013595,0.0036464,0.0022509,0.0014359,0.0021931,0.0016408,0.0020353,0.0030652,0.0010301,0.0017920,0.0006351,0.0014772,0.0005751,0.0077596,0.0017737,0.0013147,0.0011927,0.0019832,0.0013699,0.0016404,0.0029325,0.0037975,0.0023385,0.0033711,0.0025181,0.0024959,0.0038746,0.0037553,0.0026102,0.0042483,0.0021469,0.0021046,0.0036850,0.0011052,0.0028292,0.0098718
213,Support activities for mining,0.0005331,0.0002402,0.0112482,0.0200633,1.0050100,0.0018107,0.0005299,0.0002929,0.0015857,0.0021136,0.0005792,0.0004196,0.0002457,0.0005693,0.0004490,0.0002997,0.0003181,0.0002975,0.0003604,0.0004000,0.0002400,0.0004089,0.0003218,0.0064318,0.0006513,0.0004051,0.0001486,0.0001519,0.0001464,0.0001124,0.0001444,0.0009730,0.0004693,0.0009335,0.0007214,0.0004027,0.0014484,0.0040345,0.0001333,0.0001596,0.0001467,0.0001058,0.0001831,0.0000815,0.0001497,0.0000456,0.0001085,0.0000216,0.0003318,0.0001145,0.0001008,0.0000937,0.0001568,0.0000860,0.0001688,0.0003642,0.0002331,0.0001316,0.0001768,0.0001511,0.0001559,0.0001713,0.0001952,0.0001731,0.0001974,0.0001105,0.0001609,0.0001191,0.0001470,0.0002816,0.0008950
22,Utilities,0.0427807,0.0114931,0.0376989,0.0465060,0.0078120,1.0176500,0.0165634,0.0296294,0.0439256,0.0592531,0.0337276,0.0247355,0.0235676,0.0285092,0.0266054,0.0203595,0.0254255,0.0198830,0.0337179,0.0370637,0.0311097,0.0431952,0.0294844,0.0358488,0.0381756,0.0397353,0.0114701,0.0200203,0.0380744,0.0267106,0.0220639,0.0116415,0.0097665,0.0350873,0.0122515,0.0102513,0.0234119,0.0173409,0.0213684,0.0110518,0.0125659,0.0150909,0.0146827,0.0092933,0.0194699,0.0054820,0.0144692,0.0018598,0.0835553,0.0136535,0.0124756,0.0105200,0.0122888,0.0127948,0.0133989,0.0287547,0.0642306,0.0142848,0.0247691,0.0265249,0.0189765,0.0166200,0.0300839,0.0393794,0.0309466,0.0135865,0.0104047,0.0084394,0.0132723,0.0179624,0.0261295
23,Construction,0.0129994,0.0060097,0.0099222,0.0294404,0.0066029,0.0153001,1.0058400,0.0112216,0.0148053,0.0185709,0.0120149,0.0095685,0.0101786,0.0099815,0.0092701,0.0075308,0.0092645,0.0078822,0.0111646,0.0104631,0.0083296,0.0137603,0.0110933,0.0098930,0.0115755,0.0123903,0.0044017,0.0073230,0.0080398,0.0069397,0.0083074,0.0054553,0.0187567,0.0103304,0.0066801,0.0055484,0.0349074,0.0172250,0.0056882,0.0044472,0.0052180,0.0114653,0.0075549,0.0114339,0.0084307,0.0027403,0.0119095,0.0175215,0.0434087,0.0059550,0.0062386,0.0041612,0.0092227,0.0076238,0.0051151,0.0055105,0.0096407,0.0057434,0.0081535,0.0081421,0.0095926,0.0066175,0.0094167,0.0164413,0.0096803,0.0090559,0.0225705,0.0092246,0.0116400,0.0151602,0.0930293
321,Wood products,0.0070346,0.0052240,0.0024306,0.0061561,0.0032139,0.0021098,0.0555370,1.3259500,0.0138678,0.0079847,0.0056313,0.0110205,0.0068226,0.0083739,0.0146016,0.0052513,0.1472360,0.0216361,0.0066441,0.0061435,0.0040615,0.0527665,0.0122290,0.0021132,0.0047248,0.0152831,0.0030127,0.0026431,0.0049577,0.0020988,0.0031437,0.0020214,0.0298602,0.0027862,0.0032718,0.0016489,0.0041640,0.0040434,0.0017643,0.0085708,0.0076560,0.0039458,0.0183779,0.0018024,0.0024508,0.0010795,0.0021424,0.0043680,0.0069598,0.0053184,0.0017777,0.0015598,0.0023594,0.0017689,0.0025606,0.0026350,0.0029907,0.0026019,0.0028743,0.0024638,0.0102468,0.0019694,0.0051468,0.0058880,0.0101237,0.0027098,0.0027461,0.0017452,0.0014565,0.0058047,0.0083165
327,Nonmetallic mineral products,0.0043541,0.0029146,0.0083158,0.0085262,0.0075314,0.0032237,0.0591439,0.0227381,1.1644200,0.0195192,0.0117040,0.0153120,0.0094499,0.0316749,0.0253885,0.0074827,0.0146947,0.0132048,0.0131825,0.0187652,0.0076290,0.0064764,0.0044242,0.0077472,0.0081337,0.0150815,0.0016279,0.0026969,0.0024396,0.0013705,0.0026918,0.0030658,0.0038403,0.0035639,0.0033944,0.0017413,0.0050516,0.0033519,0.0017228,0.0020211,0.0017171,0.0045523,0.0096025,0.0018143,0.0025947,0.0009599,0.0021958,0.0015205,0.0045359,0.0022799,0.0015850,0.0020305,0.0039492,0.0028159,0.0031950,0.0043665,0.0046553,0.0072749,0.0044055,0.0048778,0.0057458,0.0018979,0.0039907,0.0043322,0.0143153,0.0039129,0.0032730,0.0029038,0.0015464,0.0035563,0.0163466
