"Industry-by-Industry Total Requirements, After Redefinitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(in producers' prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Industries/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525, HS, ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81, GFGD, GFGN,GFE,GSLG,GSLE
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises
111CA,Farms,1.2393800,0.0344394,0.0006681,0.0019262,0.0008042,0.0008349,0.0035706,0.0282769,0.0029803,0.0022227,0.0020368,0.0021156,0.0009778,0.0017854,0.0030628,0.0013453,0.0070980,0.0049525,0.3384990,0.0401092,0.0138438,0.0107097,0.0069939,0.0009859,0.0216188,0.0109226,0.0010253,0.0049965,0.0035976,0.0011387,0.0013545,0.0019984,0.0012700,0.0013656,0.0010380,0.0006063,0.0004653,0.0015287,0.0008006,0.0010377,0.0004213,0.0008075,0.0018245,0.0014425,0.0010827,0.0008990,0.0009315,0.0002134,0.0017613,0.0010578,0.0009724,0.0009896,0.0021456,0.0012850,0.0024108,0.0015244,0.0129052,0.0019005,0.0051033,0.0094289,0.0097705,0.0038377,0.0089477,0.0062188,0.0433784,0.0015097,0.0020637,-0.0001772,0.0055661,0.0074086,0.0015402
113FF,"Forestry, fishing, and related activities",0.0780038,1.1201500,0.0003131,0.0013162,0.0003901,0.0004062,0.0046280,0.1743100,0.0023069,0.0019572,0.0014974,0.0019988,0.0007945,0.0017123,0.0034222,0.0011393,0.0206006,0.0051301,0.0312862,0.0041646,0.0038335,0.0378127,0.0054906,0.0003998,0.0032981,0.0172335,0.0007717,0.0009852,0.0031990,0.0006487,0.0008765,0.0006279,0.0034613,0.0006692,0.0007162,0.0004509,0.0003989,0.0011030,0.0007065,0.0008519,0.0003106,0.0006416,0.0029699,0.0006141,0.0006259,0.0004290,0.0004839,0.0002745,0.0012774,0.0012653,0.0004463,0.0004366,0.0010426,0.0006096,0.0008966,0.0009156,0.0020947,0.0008835,0.0015492,0.0023331,0.0024068,0.0008594,0.0023876,0.0030449,0.0125072,0.0009205,0.0006973,0.0006519,0.0014506,0.0022176,0.0013193
211,Oil and gas extraction,0.0669420,0.0250120,1.1247900,0.0431710,0.0124931,0.1746720,0.0453913,0.0314380,0.0392155,0.0434187,0.0261943,0.0242175,0.0090128,0.0259785,0.0247974,0.0142069,0.0268202,0.0201768,0.0372713,0.0401839,0.0122013,0.0411617,0.0373395,0.7769680,0.0673947,0.0472790,0.0092855,0.0133677,0.0141459,0.0144647,0.0115494,0.1615620,0.0884190,0.1178610,0.1390530,0.0859698,0.1346090,0.0495943,0.0172522,0.0076943,0.0026499,0.0068437,0.0120725,0.0080459,0.0090814,0.0038003,0.0064901,0.0023682,0.0316735,0.0101008,0.0053328,0.0056806,0.0102302,0.0110507,0.0130006,0.0265003,0.0216103,0.0115879,0.0171339,0.0173475,0.0167995,0.0121088,0.0184661,0.0169528,0.0184005,0.0132361,0.0382653,0.0092465,0.0594043,0.0464093,0.1147100
212,"Mining, except oil and gas",0.0137119,0.0026549,0.0043337,1.1009400,0.0030705,0.0220441,0.0198927,0.0074505,0.1067660,0.1648630,0.0426624,0.0262095,0.0069200,0.0305348,0.0284388,0.0143600,0.0155935,0.0152594,0.0113188,0.0094783,0.0027042,0.0206317,0.0058257,0.0060577,0.0124113,0.0111583,0.0016421,0.0023832,0.0026711,0.0024406,0.0025654,0.0030279,0.0075267,0.0051807,0.0034664,0.0025092,0.0023511,0.0031225,0.0038560,0.0017259,0.0007276,0.0030831,0.0047019,0.0012214,0.0020162,0.0008920,0.0014329,0.0009690,0.0123328,0.0036400,0.0012892,0.0013319,0.0040887,0.0024065,0.0025291,0.0059074,0.0050192,0.0028147,0.0032087,0.0034209,0.0044570,0.0038988,0.0090301,0.0030829,0.0052820,0.0043975,0.0031564,0.0072801,0.0033825,0.0033919,0.0276192
213,Support activities for mining,0.0011523,0.0004233,0.0144808,0.0189981,1.0172300,0.0026488,0.0010730,0.0006707,0.0024392,0.0034875,0.0013717,0.0010262,0.0003261,0.0010463,0.0011016,0.0005981,0.0007882,0.0006266,0.0007775,0.0007499,0.0002421,0.0010071,0.0006630,0.0100658,0.0011305,0.0009105,0.0002298,0.0002778,0.0002664,0.0003005,0.0002552,0.0024332,0.0013496,0.0020697,0.0021755,0.0012092,0.0018406,0.0040395,0.0003909,0.0002017,0.0000687,0.0001995,0.0003619,0.0001485,0.0002240,0.0000839,0.0001539,0.0000543,0.0006547,0.0002457,0.0001204,0.0001234,0.0002990,0.0002206,0.0002582,0.0005468,0.0004025,0.0002299,0.0003150,0.0003120,0.0003580,0.0002819,0.0004372,0.0003074,0.0003894,0.0002956,0.0006097,0.0002747,0.0008766,0.0006813,0.0020453
22,Utilities,0.0222728,0.0056143,0.0122895,0.0168285,0.0031956,1.0099500,0.0113568,0.0236832,0.0443112,0.0436510,0.0282780,0.0197039,0.0081768,0.0190775,0.0217433,0.0134427,0.0201226,0.0140770,0.0230889,0.0221225,0.0104783,0.0424194,0.0209344,0.0145508,0.0242187,0.0242436,0.0095794,0.0147326,0.0268075,0.0241009,0.0184023,0.0081537,0.0083708,0.0306571,0.0108233,0.0153906,0.0050491,0.0113275,0.0358693,0.0066866,0.0031459,0.0098253,0.0131371,0.0062190,0.0098863,0.0047225,0.0069630,0.0019704,0.1056140,0.0092172,0.0071196,0.0062018,0.0125787,0.0159583,0.0086008,0.0134640,0.0560761,0.0126340,0.0171726,0.0232788,0.0220743,0.0155732,0.0276862,0.0229572,0.0222558,0.0170178,0.0083328,0.0093046,0.0277967,0.0170951,0.0169823
23,Construction,0.0139088,0.0039415,0.0185648,0.0121953,0.0059415,0.0196833,1.0051900,0.0081441,0.0107755,0.0131664,0.0087742,0.0072560,0.0036774,0.0073112,0.0075153,0.0051482,0.0072509,0.0054633,0.0097721,0.0092222,0.0053496,0.0104105,0.0085134,0.0223086,0.0070480,0.0077580,0.0059324,0.0078536,0.0113941,0.0115743,0.0119286,0.0090994,0.0182544,0.0143041,0.0101922,0.0244876,0.0277402,0.0149737,0.0173964,0.0042766,0.0021974,0.0084113,0.0074628,0.0068165,0.0077910,0.0032581,0.0056505,0.0368588,0.0914112,0.0063756,0.0057340,0.0042024,0.0088893,0.0077129,0.0059280,0.0078980,0.0152781,0.0085853,0.0085776,0.0141706,0.0169102,0.0104915,0.0131086,0.0104851,0.0104558,0.0147552,0.0102021,0.0100958,0.0320721,0.0166116,0.1452650
321,Wood products,0.0039116,0.0080869,0.0010405,0.0023328,0.0013138,0.0012043,0.0275851,1.2408300,0.0069719,0.0061320,0.0038900,0.0058110,0.0023168,0.0048510,0.0113769,0.0031699,0.1232040,0.0110421,0.0045537,0.0037487,0.0015189,0.0445184,0.0059965,0.0011767,0.0023351,0.0094843,0.0024604,0.0022244,0.0041273,0.0021710,0.0028214,0.0012604,0.0227066,0.0017130,0.0020806,0.0013987,0.0013251,0.0021883,0.0022638,0.0019106,0.0011962,0.0022995,0.0169743,0.0010876,0.0017092,0.0007328,0.0011973,0.0015794,0.0059374,0.0062422,0.0009227,0.0008338,0.0021104,0.0013797,0.0022621,0.0023710,0.0021285,0.0017293,0.0019288,0.0016829,0.0076273,0.0018431,0.0036556,0.0046230,0.0074394,0.0021651,0.0016642,0.0020062,0.0021990,0.0035340,0.0058659
327,Nonmetallic mineral products,0.0028251,0.0015847,0.0029903,0.0068947,0.0031469,0.0022774,0.0413103,0.0154163,1.1274000,0.0223268,0.0110395,0.0126146,0.0039013,0.0175850,0.0245240,0.0054469,0.0107034,0.0080174,0.0100743,0.0077670,0.0026758,0.0060655,0.0026715,0.0039877,0.0043693,0.0101706,0.0012598,0.0030758,0.0021497,0.0016009,0.0024149,0.0018611,0.0028780,0.0026540,0.0024220,0.0021002,0.0020564,0.0021657,0.0023363,0.0012256,0.0004540,0.0032492,0.0108260,0.0011984,0.0017193,0.0008037,0.0012476,0.0016366,0.0052351,0.0023873,0.0009969,0.0011463,0.0049380,0.0018282,0.0026192,0.0035137,0.0028307,0.0035041,0.0035372,0.0027937,0.0043205,0.0017115,0.0036861,0.0020328,0.0095289,0.0035678,0.0022908,0.0028083,0.0029024,0.0023529,0.0157682
