"Industry-by-Industry Total Requirements, After Redefinitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(in producers' prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Industries/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525, HS, ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81, GFGD, GFGN,GFE,GSLG,GSLE
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises
111CA,Farms,1.2525700,0.0315248,0.0011144,0.0029729,0.0016156,0.0010258,0.0042407,0.0206817,0.0050267,0.0032067,0.0035214,0.0037430,0.0016480,0.0033980,0.0044991,0.0025867,0.0084017,0.0081017,0.4018370,0.0530724,0.0230595,0.0123728,0.0109912,0.0017482,0.0378191,0.0183230,0.0014925,0.0062873,0.0049590,0.0014412,0.0019375,0.0019692,0.0014399,0.0023281,0.0015979,0.0009814,0.0005595,0.0025150,0.0012892,0.0013927,0.0007666,0.0015534,0.0029378,0.0012404,0.0015883,0.0011020,0.0012581,0.0003091,0.0025016,0.0014935,0.0014072,0.0012194,0.0032598,0.0020770,0.0039688,0.0030472,0.0135196,0.0033522,0.0079549,0.0125976,0.0128931,0.0052089,0.0138390,0.0093516,0.0514023,0.0022153,0.0030349,0.0035077,0.0091464,0.0094095,0.0022277
113FF,"Forestry, fishing, and related activities",0.0761312,1.1167500,0.0002668,0.0014564,0.0005104,0.0003193,0.0038688,0.1431590,0.0021144,0.0018045,0.0015493,0.0022011,0.0007636,0.0018797,0.0030190,0.0013203,0.0174123,0.0048312,0.0332778,0.0050954,0.0063600,0.0265767,0.0043273,0.0003986,0.0045408,0.0185302,0.0007289,0.0009409,0.0028149,0.0005165,0.0007563,0.0005419,0.0024220,0.0006893,0.0006752,0.0003942,0.0003382,0.0011307,0.0006686,0.0006682,0.0003664,0.0007262,0.0022901,0.0003630,0.0005119,0.0003697,0.0003931,0.0003082,0.0010260,0.0011702,0.0004272,0.0003624,0.0009670,0.0006081,0.0008806,0.0011001,0.0019041,0.0009027,0.0016840,0.0023459,0.0021869,0.0008443,0.0026113,0.0031988,0.0119237,0.0008539,0.0006847,0.0006834,0.0017878,0.0018953,0.0011475
211,Oil and gas extraction,0.0725121,0.0180468,1.0913300,0.0676529,0.0204523,0.1095190,0.0442481,0.0340025,0.0450138,0.0484395,0.0290196,0.0282351,0.0092741,0.0305915,0.0242412,0.0180452,0.0299753,0.0218069,0.0436858,0.0415865,0.0217492,0.0521272,0.0425054,0.7324260,0.0694407,0.0489697,0.0098367,0.0123538,0.0126507,0.0115971,0.0107390,0.1819210,0.1176040,0.1554930,0.1657950,0.0849975,0.0764401,0.0530486,0.0171764,0.0074362,0.0032671,0.0080686,0.0147521,0.0055689,0.0084311,0.0035325,0.0059808,0.0024088,0.0202996,0.0106515,0.0051054,0.0050946,0.0100534,0.0101734,0.0144333,0.0370787,0.0173875,0.0110684,0.0159115,0.0155005,0.0141551,0.0112198,0.0191990,0.0165822,0.0174148,0.0122278,0.0486534,0.0135140,0.0624565,0.0500086,0.0942915
212,"Mining, except oil and gas",0.0133105,0.0018954,0.0029892,1.1158900,0.0039644,0.0163238,0.0188775,0.0075442,0.1178050,0.1489190,0.0404439,0.0262042,0.0069420,0.0336757,0.0216274,0.0163257,0.0159944,0.0158995,0.0117273,0.0103271,0.0048677,0.0235681,0.0060456,0.0049396,0.0139156,0.0120087,0.0015719,0.0021504,0.0022589,0.0018546,0.0022232,0.0028330,0.0065386,0.0048028,0.0031697,0.0022122,0.0020611,0.0033900,0.0033440,0.0014818,0.0008943,0.0035933,0.0046403,0.0007395,0.0015834,0.0007171,0.0011329,0.0010078,0.0087141,0.0039937,0.0011107,0.0010603,0.0037361,0.0021891,0.0023727,0.0077724,0.0041901,0.0026604,0.0030934,0.0031527,0.0037682,0.0040222,0.0081308,0.0031177,0.0049543,0.0042353,0.0031722,0.0052993,0.0033787,0.0030124,0.0244975
213,Support activities for mining,0.0016474,0.0004253,0.0211289,0.0161277,1.0144900,0.0023908,0.0012727,0.0009160,0.0025854,0.0030822,0.0014543,0.0012148,0.0003764,0.0012942,0.0010434,0.0007815,0.0009957,0.0007592,0.0011168,0.0010269,0.0005580,0.0014757,0.0009936,0.0142328,0.0015959,0.0012415,0.0003040,0.0003346,0.0003176,0.0003141,0.0003068,0.0038782,0.0024311,0.0035702,0.0035575,0.0017275,0.0016003,0.0043515,0.0004765,0.0002250,0.0001024,0.0002820,0.0004897,0.0001337,0.0002408,0.0000979,0.0001674,0.0000690,0.0005493,0.0003143,0.0001429,0.0001370,0.0003336,0.0002644,0.0003598,0.0009600,0.0004330,0.0002834,0.0003927,0.0003745,0.0003872,0.0003275,0.0005284,0.0004044,0.0004688,0.0003473,0.0010563,0.0003628,0.0013198,0.0010368,0.0022574
22,Utilities,0.0168123,0.0032351,0.0056672,0.0170983,0.0037218,1.0071400,0.0083972,0.0210996,0.0346079,0.0347750,0.0219951,0.0164176,0.0064889,0.0171065,0.0159502,0.0123772,0.0178387,0.0121649,0.0194443,0.0222738,0.0146737,0.0414117,0.0172771,0.0089403,0.0229914,0.0233973,0.0078167,0.0121932,0.0205705,0.0150729,0.0136690,0.0065385,0.0057313,0.0257108,0.0077864,0.0139084,0.0030710,0.0104916,0.0284455,0.0046488,0.0028131,0.0089865,0.0111056,0.0030378,0.0064615,0.0028835,0.0045831,0.0015635,0.0658567,0.0068139,0.0048419,0.0039388,0.0085740,0.0118214,0.0061511,0.0124232,0.0439425,0.0090566,0.0123491,0.0173831,0.0145857,0.0116667,0.0196408,0.0194527,0.0162958,0.0115344,0.0065050,0.0058624,0.0279358,0.0124805,0.0106981
23,Construction,0.0136970,0.0029250,0.0110935,0.0209260,0.0064311,0.0200271,1.0050600,0.0094080,0.0119911,0.0140405,0.0092247,0.0076798,0.0033677,0.0072715,0.0079161,0.0058952,0.0083207,0.0058857,0.0102314,0.0098348,0.0075504,0.0124179,0.0087350,0.0191376,0.0079645,0.0085875,0.0067004,0.0095393,0.0122339,0.0099053,0.0121236,0.0095864,0.0167743,0.0145467,0.0102225,0.0209074,0.0173347,0.0178356,0.0165967,0.0036965,0.0024348,0.0091117,0.0088197,0.0050983,0.0068688,0.0027061,0.0050520,0.0378044,0.0799125,0.0059625,0.0051567,0.0033592,0.0077085,0.0078315,0.0052539,0.0074649,0.0141623,0.0078672,0.0079550,0.0142532,0.0148222,0.0102945,0.0122116,0.0133669,0.0105951,0.0134378,0.0098157,0.0097313,0.0310688,0.0174608,0.1468120
321,Wood products,0.0039731,0.0045671,0.0007995,0.0031054,0.0016768,0.0010839,0.0272584,1.2575800,0.0074031,0.0063361,0.0046279,0.0073351,0.0025790,0.0060505,0.0110355,0.0040294,0.1241920,0.0106497,0.0048440,0.0047692,0.0034872,0.0481365,0.0060786,0.0011307,0.0028388,0.0106595,0.0028842,0.0022396,0.0041600,0.0018725,0.0027388,0.0013676,0.0190464,0.0019292,0.0021025,0.0013827,0.0012074,0.0027053,0.0024830,0.0018020,0.0016920,0.0028496,0.0140253,0.0007232,0.0014635,0.0006895,0.0010282,0.0022025,0.0048687,0.0068168,0.0009024,0.0007458,0.0021072,0.0014939,0.0022589,0.0030426,0.0020254,0.0017704,0.0020613,0.0017784,0.0067069,0.0018364,0.0034092,0.0053975,0.0072268,0.0021850,0.0016612,0.0017147,0.0026683,0.0035622,0.0056995
327,Nonmetallic mineral products,0.0030839,0.0012245,0.0023021,0.0077169,0.0045625,0.0018985,0.0398763,0.0179179,1.1244600,0.0241670,0.0124843,0.0148690,0.0041503,0.0206593,0.0216698,0.0073803,0.0127231,0.0089839,0.0103837,0.0096045,0.0058929,0.0076365,0.0033472,0.0030898,0.0054541,0.0127866,0.0014021,0.0029491,0.0020051,0.0015268,0.0023373,0.0018337,0.0027068,0.0028045,0.0023578,0.0019241,0.0015960,0.0026939,0.0025808,0.0011377,0.0005921,0.0043734,0.0094816,0.0008041,0.0015090,0.0007226,0.0010918,0.0017425,0.0045930,0.0027841,0.0009984,0.0010187,0.0047550,0.0019022,0.0026345,0.0047528,0.0026664,0.0032834,0.0042743,0.0030563,0.0039547,0.0017700,0.0035880,0.0024365,0.0092095,0.0037227,0.0023358,0.0024365,0.0031127,0.0023945,0.0144903
