"Industry-by-Industry Total Requirements, After Redefinitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(in producers' prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Industries/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525, HS, ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81, GFGD, GFGN,GFE,GSLG,GSLE
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises
111CA,Farms,1.2169400,0.0658993,0.0008300,0.0023435,0.0014868,0.0010569,0.0041608,0.0380110,0.0026824,0.0020084,0.0017119,0.0021642,0.0014974,0.0018366,0.0038768,0.0017113,0.0085412,0.0068033,0.3530320,0.0638501,0.0275273,0.0116980,0.0069876,0.0010669,0.0159337,0.0080905,0.0012585,0.0035518,0.0039749,0.0009625,0.0018436,0.0037341,0.0015729,0.0017557,0.0013379,0.0007921,0.0014861,0.0013121,0.0005486,0.0020823,0.0017023,0.0007119,0.0012540,0.0018014,0.0006248,0.0008369,0.0011459,0.0004128,0.0024315,0.0009045,0.0015015,0.0013735,0.0020517,0.0018926,0.0028934,0.0014037,0.0253951,0.0020602,0.0049556,0.0123218,0.0157518,0.0022014,0.0081194,0.0139302,0.0685388,0.0015579,0.0013745,-0.0043948,0.0022034,0.0075166,0.0013426
113FF,"Forestry, fishing, and related activities",0.0765182,1.2192600,0.0005597,0.0028432,0.0010878,0.0005211,0.0086134,0.1949840,0.0035610,0.0023952,0.0017697,0.0027543,0.0016424,0.0023864,0.0036940,0.0016802,0.0244600,0.0064379,0.0321524,0.0063243,0.0043937,0.0435021,0.0109382,0.0006040,0.0044825,0.0130066,0.0008508,0.0008814,0.0033074,0.0006043,0.0009770,0.0013241,0.0041567,0.0008992,0.0010015,0.0009448,0.0011381,0.0012350,0.0005093,0.0031685,0.0015010,0.0008038,0.0020049,0.0009704,0.0005861,0.0005050,0.0007625,0.0010649,0.0016313,0.0010420,0.0008485,0.0006182,0.0010592,0.0008317,0.0010981,0.0008398,0.0037003,0.0011364,0.0018815,0.0030046,0.0036087,0.0009359,0.0030682,0.0051803,0.0165490,0.0009246,0.0007761,0.0005768,0.0006997,0.0027270,0.0017333
211,Oil and gas extraction,0.0256528,0.0134887,1.1476900,0.0304346,0.0156885,0.1257670,0.0212543,0.0148672,0.0172137,0.0229645,0.0129804,0.0133662,0.0080927,0.0161595,0.0119402,0.0088615,0.0122972,0.0110944,0.0170788,0.0224580,0.0135812,0.0162387,0.0255327,0.6944420,0.0391250,0.0230829,0.0047529,0.0066702,0.0080206,0.0051147,0.0064129,0.0746106,0.0510315,0.0803089,0.0533986,0.0517610,0.2639420,0.0140479,0.0045579,0.0071541,0.0062305,0.0038555,0.0042756,0.0056393,0.0042190,0.0023524,0.0048397,0.0009989,0.0168093,0.0041213,0.0047579,0.0041648,0.0051574,0.0036664,0.0134478,0.0333506,0.0126742,0.0066319,0.0106111,0.0092113,0.0080465,0.0065231,0.0084297,0.0117451,0.0101564,0.0051577,0.0095811,0.0045819,0.0120702,0.0237099,0.0869450
212,"Mining, except oil and gas",0.0094317,0.0030591,0.0046448,1.1484100,0.0046407,0.0162562,0.0179891,0.0060372,0.0744034,0.1143260,0.0262659,0.0169065,0.0064366,0.0211434,0.0191238,0.0111639,0.0104074,0.0104736,0.0089875,0.0109405,0.0054754,0.0148528,0.0067001,0.0062616,0.0175765,0.0108443,0.0012063,0.0014622,0.0019969,0.0012977,0.0018866,0.0024188,0.0058503,0.0046799,0.0030422,0.0017644,0.0048218,0.0020164,0.0015706,0.0035620,0.0022191,0.0019576,0.0023681,0.0014855,0.0014423,0.0006737,0.0018594,0.0007375,0.0101703,0.0022483,0.0016784,0.0010961,0.0021252,0.0013954,0.0017623,0.0030316,0.0038291,0.0026309,0.0039210,0.0028856,0.0030091,0.0072092,0.0059007,0.0030971,0.0048587,0.0027213,0.0024117,0.0049096,0.0011745,0.0031053,0.0136264
213,Support activities for mining,0.0004671,0.0002523,0.0149938,0.0135370,1.0051000,0.0018540,0.0005071,0.0002961,0.0011316,0.0016846,0.0004985,0.0003932,0.0001968,0.0004795,0.0004046,0.0002625,0.0003034,0.0002841,0.0003556,0.0004412,0.0002616,0.0004094,0.0004317,0.0091226,0.0007338,0.0004486,0.0001387,0.0001414,0.0001504,0.0001029,0.0001414,0.0011480,0.0008128,0.0013919,0.0009693,0.0007320,0.0035421,0.0030875,0.0001127,0.0001801,0.0001730,0.0000846,0.0001139,0.0001041,0.0000940,0.0000450,0.0001009,0.0000231,0.0003516,0.0001003,0.0001030,0.0000812,0.0001221,0.0000746,0.0002187,0.0005037,0.0002270,0.0001339,0.0002002,0.0001668,0.0001640,0.0002082,0.0002055,0.0002046,0.0002056,0.0001127,0.0001633,0.0001244,0.0001874,0.0003547,0.0013223
22,Utilities,0.0280345,0.0084225,0.0255668,0.0534238,0.0073971,1.0126200,0.0145703,0.0267400,0.0382373,0.0442455,0.0278849,0.0213274,0.0174430,0.0206620,0.0221755,0.0169923,0.0225713,0.0170129,0.0267370,0.0328582,0.0255400,0.0365399,0.0246243,0.0258161,0.0333834,0.0333642,0.0098677,0.0161538,0.0327260,0.0206442,0.0195361,0.0093459,0.0099410,0.0264275,0.0101337,0.0104331,0.0362112,0.0113440,0.0170989,0.0123387,0.0124195,0.0100349,0.0077990,0.0112810,0.0119260,0.0042282,0.0127724,0.0017526,0.0712439,0.0098183,0.0108919,0.0085907,0.0102610,0.0083881,0.0110833,0.0297308,0.0562823,0.0117309,0.0186205,0.0210441,0.0152961,0.0131846,0.0241298,0.0349749,0.0259109,0.0118437,0.0091879,0.0074194,0.0128445,0.0148880,0.0320161
23,Construction,0.0121527,0.0043495,0.0064537,0.0348944,0.0071546,0.0101865,1.0064600,0.0138948,0.0160892,0.0187282,0.0126366,0.0106439,0.0095578,0.0093459,0.0098040,0.0082843,0.0100012,0.0087660,0.0121317,0.0120489,0.0087101,0.0152621,0.0113544,0.0066636,0.0121418,0.0134820,0.0047376,0.0068463,0.0085069,0.0065903,0.0093897,0.0057648,0.0158581,0.0091412,0.0069509,0.0060040,0.0278913,0.0150636,0.0061857,0.0058077,0.0066868,0.0097890,0.0051423,0.0146295,0.0055796,0.0025939,0.0151429,0.0101131,0.0442509,0.0052711,0.0068150,0.0037215,0.0093055,0.0068685,0.0049046,0.0049946,0.0087240,0.0059406,0.0079454,0.0083072,0.0098191,0.0070360,0.0106254,0.0191902,0.0108353,0.0087992,0.0251882,0.0120644,0.0122531,0.0155327,0.0909574
321,Wood products,0.0057320,0.0030078,0.0018087,0.0078197,0.0044707,0.0014006,0.0526009,1.3300500,0.0143736,0.0083709,0.0055988,0.0100801,0.0058106,0.0077158,0.0140848,0.0052718,0.1509690,0.0218877,0.0065335,0.0056870,0.0038867,0.0589536,0.0146211,0.0016507,0.0049903,0.0148594,0.0025761,0.0021216,0.0050525,0.0019596,0.0029063,0.0019432,0.0256847,0.0023656,0.0031472,0.0019196,0.0036280,0.0032022,0.0016987,0.0097529,0.0058579,0.0030355,0.0107626,0.0021769,0.0014617,0.0009467,0.0020994,0.0068113,0.0066033,0.0049774,0.0018596,0.0012352,0.0021417,0.0015768,0.0021477,0.0021717,0.0027148,0.0024527,0.0030662,0.0027389,0.0103998,0.0022184,0.0059721,0.0068069,0.0105830,0.0025390,0.0026355,0.0021718,0.0013778,0.0057304,0.0085450
327,Nonmetallic mineral products,0.0042434,0.0027947,0.0069577,0.0109326,0.0091324,0.0023500,0.0574644,0.0226755,1.1641100,0.0213606,0.0126783,0.0165756,0.0087927,0.0338575,0.0280851,0.0078576,0.0150506,0.0139554,0.0139462,0.0191665,0.0081888,0.0069942,0.0049074,0.0065715,0.0088751,0.0151119,0.0016446,0.0021380,0.0024179,0.0014438,0.0026841,0.0028455,0.0041444,0.0036984,0.0037058,0.0019264,0.0054944,0.0027806,0.0017465,0.0026520,0.0020890,0.0039062,0.0058084,0.0021569,0.0017237,0.0008140,0.0021889,0.0015757,0.0045361,0.0019635,0.0016341,0.0015108,0.0036277,0.0025771,0.0029513,0.0039653,0.0039559,0.0076802,0.0050080,0.0059247,0.0062810,0.0025392,0.0050071,0.0052962,0.0145853,0.0038804,0.0033606,0.0036864,0.0015152,0.0037570,0.0168024
