"Industry-by-Industry Total Requirements, After Redefinitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(in producers' prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Industries/Industries,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525, HS, ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81, GFGD, GFGN,GFE,GSLG,GSLE
IOCode,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises
111CA,Farms,1.2174900,0.0372901,0.0004915,0.0015052,0.0008187,0.0006818,0.0031915,0.0222677,0.0021369,0.0013882,0.0012218,0.0014914,0.0008057,0.0012173,0.0022471,0.0012375,0.0060923,0.0057170,0.3219870,0.0646207,0.0212920,0.0080383,0.0045276,0.0006047,0.0121105,0.0071162,0.0008463,0.0061377,0.0029395,0.0009751,0.0011402,0.0002571,0.0010071,0.0006560,0.0007116,0.0005164,0.0007319,0.0011192,0.0005136,0.0011845,0.0011522,0.0005002,0.0005418,0.0008297,0.0001861,0.0005245,0.0002775,0.0001884,0.0018721,0.0006424,0.0007077,0.0006953,0.0016522,0.0008358,0.0019998,0.0015238,0.0095111,0.0014886,0.0050021,0.0091246,0.0086827,0.0038550,0.0101238,0.0066649,0.0362260,0.0011163,0.0011833,-0.0123908,0.0017612,0.0076717,0.0010895
113FF,"Forestry, fishing, and related activities",0.0860973,1.1904200,0.0005051,0.0024074,0.0006938,0.0005994,0.0082628,0.1906690,0.0028774,0.0021838,0.0016561,0.0026622,0.0013806,0.0022896,0.0038003,0.0015799,0.0229809,0.0063863,0.0353210,0.0068583,0.0047587,0.0435396,0.0070232,0.0005282,0.0034885,0.0161804,0.0009265,0.0010638,0.0030364,0.0006150,0.0009412,0.0006510,0.0053710,0.0007545,0.0008649,0.0006336,0.0011756,0.0012939,0.0006876,0.0020365,0.0013464,0.0008666,0.0015143,0.0006095,0.0005819,0.0004396,0.0004662,0.0004768,0.0019935,0.0011268,0.0005523,0.0004623,0.0010793,0.0006497,0.0010517,0.0013106,0.0020768,0.0010987,0.0017487,0.0025587,0.0026399,0.0009965,0.0031915,0.0042089,0.0137692,0.0009593,0.0007233,-0.0001183,0.0008859,0.0026046,0.0018627
211,Oil and gas extraction,0.0735270,0.0373684,1.2031700,0.0836847,0.0268554,0.2361740,0.0432164,0.0369376,0.0460454,0.0462026,0.0284870,0.0282358,0.0141854,0.0300428,0.0255780,0.0175976,0.0282505,0.0252339,0.0423032,0.0562104,0.0258733,0.0456091,0.0421716,0.7910390,0.0963319,0.0588592,0.0115780,0.0111264,0.0163834,0.0130012,0.0135461,0.1824300,0.0956442,0.1430260,0.1170210,0.0598453,0.2575420,0.0485336,0.0163448,0.0132353,0.0105983,0.0087199,0.0067470,0.0081311,0.0092979,0.0044638,0.0069965,0.0023329,0.0402524,0.0105642,0.0074498,0.0061849,0.0110377,0.0123254,0.0164068,0.0387026,0.0242150,0.0147055,0.0222528,0.0210554,0.0167518,0.0121282,0.0205091,0.0242825,0.0211275,0.0132274,0.0449013,0.0144661,0.0454106,0.0476618,0.1279920
212,"Mining, except oil and gas",0.0117400,0.0024052,0.0037719,1.1269000,0.0040471,0.0172233,0.0205435,0.0065734,0.0926268,0.1260310,0.0358345,0.0229249,0.0074486,0.0276177,0.0221254,0.0140003,0.0120764,0.0147010,0.0108218,0.0105355,0.0046250,0.0200310,0.0056202,0.0049265,0.0133030,0.0110658,0.0016645,0.0017554,0.0024550,0.0018574,0.0024577,0.0026093,0.0061204,0.0047599,0.0030095,0.0023116,0.0046825,0.0027758,0.0027797,0.0029099,0.0024719,0.0030213,0.0018707,0.0011899,0.0018630,0.0008831,0.0013905,0.0009897,0.0124916,0.0028780,0.0016451,0.0011347,0.0033209,0.0019837,0.0022703,0.0065623,0.0045944,0.0029491,0.0032650,0.0033825,0.0036170,0.0032798,0.0067737,0.0030816,0.0048016,0.0037411,0.0027617,0.0050579,0.0021597,0.0031456,0.0225707
213,Support activities for mining,0.0017508,0.0008683,0.0241347,0.0208106,1.0139200,0.0051134,0.0013817,0.0010141,0.0026753,0.0032619,0.0014820,0.0012206,0.0005373,0.0012932,0.0011617,0.0007805,0.0009362,0.0008900,0.0011557,0.0014111,0.0006830,0.0013837,0.0010351,0.0159248,0.0022388,0.0015117,0.0003936,0.0003200,0.0004260,0.0003710,0.0004024,0.0041262,0.0020971,0.0034997,0.0028855,0.0013197,0.0053945,0.0061053,0.0005050,0.0004768,0.0003790,0.0002920,0.0002469,0.0002127,0.0002987,0.0001294,0.0002171,0.0000728,0.0010816,0.0003206,0.0002151,0.0001746,0.0003807,0.0003191,0.0004293,0.0010538,0.0006143,0.0003912,0.0005520,0.0005214,0.0004726,0.0003689,0.0005841,0.0005866,0.0005736,0.0003842,0.0010139,0.0004109,0.0009977,0.0010438,0.0030777
22,Utilities,0.0283346,0.0068182,0.0157178,0.0321609,0.0066392,1.0146500,0.0134307,0.0265433,0.0528876,0.0483727,0.0290912,0.0214586,0.0129082,0.0222284,0.0226829,0.0163578,0.0220043,0.0178480,0.0294326,0.0375736,0.0239916,0.0539777,0.0243824,0.0161032,0.0347929,0.0329490,0.0109890,0.0124780,0.0274090,0.0193702,0.0199098,0.0094065,0.0080998,0.0324786,0.0115885,0.0154750,0.0161209,0.0144253,0.0272053,0.0110800,0.0109845,0.0115564,0.0066488,0.0071244,0.0114805,0.0054534,0.0085073,0.0010496,0.1028260,0.0093656,0.0111497,0.0061102,0.0124478,0.0144336,0.0090210,0.0156927,0.0573019,0.0144102,0.0189768,0.0248636,0.0198718,0.0147851,0.0235839,0.0277694,0.0243789,0.0156369,0.0092532,0.0093886,0.0186661,0.0179821,0.0149371
23,Construction,0.0153829,0.0045504,0.0262440,0.0232483,0.0094639,0.0218471,1.0055700,0.0088107,0.0114631,0.0124718,0.0085800,0.0072766,0.0047888,0.0068613,0.0070179,0.0053509,0.0076957,0.0063337,0.0098548,0.0094182,0.0070051,0.0108078,0.0085971,0.0243210,0.0090754,0.0093259,0.0065588,0.0068190,0.0116093,0.0090803,0.0121881,0.0101667,0.0189255,0.0131278,0.0100983,0.0180843,0.0680493,0.0151739,0.0127711,0.0063945,0.0071425,0.0102327,0.0039014,0.0090109,0.0089675,0.0037008,0.0070824,0.0428078,0.0766757,0.0056615,0.0081053,0.0039142,0.0084285,0.0069370,0.0057697,0.0075554,0.0127545,0.0087407,0.0084691,0.0132521,0.0138038,0.0091086,0.0111967,0.0122561,0.0109135,0.0113623,0.0115335,0.0118644,0.0261748,0.0164889,0.1424200
321,Wood products,0.0058379,0.0076584,0.0021106,0.0048026,0.0024038,0.0020540,0.0508439,1.3068800,0.0096301,0.0073885,0.0048796,0.0096815,0.0047179,0.0074358,0.0147158,0.0049525,0.1399350,0.0167206,0.0059959,0.0055453,0.0032012,0.0441863,0.0075262,0.0019836,0.0039445,0.0154465,0.0032148,0.0023819,0.0048385,0.0021348,0.0033168,0.0016790,0.0350943,0.0022916,0.0029632,0.0020191,0.0050518,0.0031178,0.0025838,0.0051377,0.0055303,0.0034953,0.0083718,0.0014272,0.0017349,0.0009412,0.0013173,0.0028474,0.0090623,0.0054985,0.0014600,0.0010090,0.0024841,0.0015580,0.0030061,0.0034887,0.0025808,0.0026340,0.0025579,0.0024094,0.0086212,0.0022890,0.0041249,0.0067796,0.0096196,0.0026567,0.0020093,0.0019930,0.0023512,0.0050326,0.0094266
327,Nonmetallic mineral products,0.0035536,0.0019447,0.0047835,0.0081534,0.0064332,0.0032667,0.0577135,0.0207502,1.1596900,0.0191289,0.0111426,0.0145273,0.0061693,0.0202481,0.0243591,0.0067106,0.0109653,0.0108233,0.0119425,0.0100771,0.0046991,0.0058260,0.0031023,0.0050364,0.0063409,0.0146373,0.0016365,0.0025675,0.0023496,0.0014563,0.0026610,0.0024213,0.0034347,0.0032122,0.0028493,0.0024858,0.0060777,0.0026778,0.0021485,0.0019952,0.0018404,0.0042174,0.0046762,0.0014409,0.0016889,0.0008666,0.0012986,0.0025758,0.0065653,0.0021388,0.0012929,0.0012538,0.0048721,0.0018942,0.0030611,0.0056240,0.0029066,0.0048731,0.0037837,0.0034824,0.0045457,0.0017853,0.0036540,0.0029541,0.0112341,0.0040109,0.0025921,0.0031403,0.0026604,0.0030474,0.0177756
331,Primary metals,0.0146832,0.0085776,0.0202292,0.0368448,0.0239632,0.0081537,0.0424518,0.0314197,0.0389825,1.4273400,0.3688900,0.2272610,0.0641580,0.2658320,0.2091230,0.1309310,0.0985042,0.0996590,0.0326538,0.0262232,0.0153272,0.0300200,0.0184727,0.0151623,0.0179716,0.0425420,0.0055166,0.0062623,0.0059837,0.0038968,0.0061494,0.0076561,0.0442008,0.0240930,0.0152622,0.0109412,0.0251542,0.0126709,0.0081365,0.0102609,0.0064238,0.0130756,0.0067327,0.0032690,0.0041710,0.0022538,0.0031840,0.0023105,0.0146844,0.0073813,0.0037225,0.0041154,0.0101895,0.0058856,0.0077945,0.0446181,0.0098120,0.0074820,0.0079054,0.0067581,0.0117106,0.0048112,0.0106419,0.0079424,0.0142744,0.0142639,0.0162261,0.0072272,0.0082436,0.0078252,0.0225199
332,Fabricated metal products,0.0192645,0.0095624,0.0153661,0.0277522,0.0160746,0.0088931,0.0698455,0.0517066,0.0434330,0.0619941,1.1433100,0.1246830,0.0558068,0.1016990,0.1260240,0.0884331,0.0644979,0.0536084,0.0386427,0.0344365,0.0244283,0.0439885,0.0295475,0.0126491,0.0287438,0.0576550,0.0060318,0.0076053,0.0064345,0.0042632,0.0077263,0.0086905,0.0130815,0.0496857,0.0192848,0.0154294,0.0526113,0.0158329,0.0086806,0.0166281,0.0066406,0.0216906,0.0098404,0.0038082,0.0048259,0.0026912,0.0036764,0.0034220,0.0134578,0.0073949,0.0038717,0.0053141,0.0102589,0.0075406,0.0085004,0.0448544,0.0095895,0.0072304,0.0082832,0.0068366,0.0147491,0.0049577,0.0106095,0.0117683,0.0215330,0.0137439,0.0213806,0.0081872,0.0103020,0.0088930,0.0313400
333,Machinery,0.0147011,0.0100042,0.0188699,0.0703816,0.0560634,0.0073759,0.0254525,0.0121957,0.0132031,0.0282734,0.0228241,1.1156900,0.0095851,0.0340275,0.0725573,0.0347676,0.0092601,0.0123935,0.0116896,0.0084632,0.0049765,0.0148721,0.0181706,0.0133168,0.0107155,0.0173805,0.0030028,0.0035609,0.0033954,0.0023365,0.0032727,0.0047365,0.0060052,0.0086927,0.0070464,0.0069193,0.0165559,0.0059623,0.0091563,0.0048762,0.0037971,0.0039903,0.0032902,0.0016211,0.0022095,0.0012405,0.0016516,0.0012158,0.0087292,0.0042324,0.0018416,0.0026665,0.0047458,0.0035625,0.0055989,0.0491330,0.0099523,0.0033637,0.0037634,0.0037194,0.0041399,0.0024801,0.0040421,0.0034558,0.0061009,0.0108766,0.0063821,0.0027343,0.0039225,0.0053104,0.0130001
334,Computer and electronic products,0.0057779,0.0037915,0.0037765,0.0084131,0.0081853,0.0036392,0.0127874,0.0188611,0.0217547,0.0212218,0.0266772,0.0449862,1.2598700,0.0477081,0.0617134,0.0748679,0.0272180,0.0316595,0.0113528,0.0279462,0.0152323,0.0253854,0.0260909,0.0037088,0.0169096,0.0261893,0.0076623,0.0106302,0.0063153,0.0038256,0.0062581,0.0044874,0.0067681,0.0082259,0.0063815,0.0048922,0.0071656,0.0052629,0.0047839,0.0207387,0.0228076,0.0421217,0.0119872,0.0105704,0.0068641,0.0029382,0.0063433,0.0010473,0.0083479,0.0045030,0.0072874,0.0134893,0.0122149,0.0167286,0.0111475,0.0172596,0.0182948,0.0087519,0.0062060,0.0054481,0.0066160,0.0042704,0.0061116,0.0111962,0.0077065,0.0136433,0.0455681,0.0118083,0.0037464,0.0062715,0.0119262
335,"Electrical equipment, appliances, and components",0.0041258,0.0070675,0.0022462,0.0052182,0.0042092,0.0017401,0.0243184,0.0105195,0.0046115,0.0158659,0.0157119,0.0413009,0.0211833,1.0709400,0.0183120,0.0175982,0.0059275,0.0097281,0.0045809,0.0046274,0.0032340,0.0056523,0.0042519,0.0020154,0.0038680,0.0084519,0.0016570,0.0022011,0.0020807,0.0021461,0.0020903,0.0017599,0.0048120,0.0041330,0.0026507,0.0034414,0.0042127,0.0022863,0.0050101,0.0021937,0.0019813,0.0070577,0.0024709,0.0014110,0.0017517,0.0009609,0.0013353,0.0011257,0.0045869,0.0024293,0.0032387,0.0027544,0.0049900,0.0020902,0.0041555,0.0136434,0.0042675,0.0017281,0.0022789,0.0028705,0.0032266,0.0014937,0.0029619,0.0032002,0.0053878,0.0051399,0.0043781,0.0048073,0.0021099,0.0030392,0.0105633
3361MV,"Motor vehicles, bodies and trailers, and parts",0.0104145,0.0077750,0.0043218,0.0180971,0.0088785,0.0030173,0.0155509,0.0171862,0.0137015,0.0271518,0.0172090,0.0598172,0.0122295,0.0164914,1.4082000,0.0421688,0.0133366,0.0105803,0.0116312,0.0097031,0.0062077,0.0132747,0.0082600,0.0039205,0.0069154,0.0103582,0.0065057,0.0106047,0.0114053,0.0031446,0.0076866,0.0033585,0.0062403,0.0073552,0.0428002,0.0208355,0.0053766,0.0127079,0.0113348,0.0076484,0.0037448,0.0046210,0.0025789,0.0027689,0.0031861,0.0015925,0.0023419,0.0008454,0.0066708,0.0058557,0.0019200,0.0019109,0.0052711,0.0047513,0.0099326,0.0360560,0.0067156,0.0034964,0.0041619,0.0036766,0.0105787,0.0036026,0.0042158,0.0043285,0.0064635,0.0372232,0.0152292,0.0023050,0.0224787,0.0081685,0.0078811
3364OT,Other transportation equipment,0.0014017,0.0019289,0.0008610,0.0031631,0.0017407,0.0010921,0.0019318,0.0027424,0.0021520,0.0057328,0.0032650,0.0066652,0.0019676,0.0031577,0.0051720,1.2064100,0.0022097,0.0020476,0.0017684,0.0019919,0.0016250,0.0025248,0.0016462,0.0007486,0.0018645,0.0025420,0.0011097,0.0010422,0.0008798,0.0008922,0.0011320,0.0084845,0.0262802,0.0223471,0.0016323,0.0022187,0.0019618,0.0061206,0.0009108,0.0016903,0.0017691,0.0016426,0.0008374,0.0009274,0.0013163,0.0006930,0.0010324,0.0001310,0.0015050,0.0008861,0.0007695,0.0009010,0.0031106,0.0015238,0.0011396,0.0026688,0.0009951,0.0009843,0.0010578,0.0009502,0.0010294,0.0011066,0.0013211,0.0012353,0.0011742,0.0015677,0.0380312,0.0027332,0.0009382,0.0008343,0.0022259
337,Furniture and related products,0.0005076,0.0002937,0.0004669,0.0006987,0.0003801,0.0003957,0.0129022,0.0128112,0.0009532,0.0006410,0.0006355,0.0023957,0.0019516,0.0007289,0.0019606,0.0008506,1.0393200,0.0031843,0.0005745,0.0010710,0.0009978,0.0011487,0.0005619,0.0004328,0.0005214,0.0027150,0.0006906,0.0011163,0.0003488,0.0002465,0.0011249,0.0002975,0.0008111,0.0004667,0.0003768,0.0003796,0.0010840,0.0004767,0.0003109,0.0003719,0.0005496,0.0006377,0.0015542,0.0002427,0.0002755,0.0001331,0.0002142,0.0039073,0.0012688,0.0006055,0.0002720,0.0001729,0.0004582,0.0002900,0.0002901,0.0005537,0.0003822,0.0006002,0.0004482,0.0003909,0.0010667,0.0042333,0.0021054,0.0004558,0.0019845,0.0005698,0.0004126,0.0003115,0.0005501,0.0004340,0.0022468
339,Miscellaneous manufacturing,0.0023406,0.0009298,0.0006837,0.0018928,0.0011968,0.0006757,0.0022983,0.0020394,0.0045972,0.0022235,0.0019684,0.0102800,0.0018220,0.0057231,0.0071848,0.0024271,0.0027662,1.0692300,0.0016871,0.0063127,0.0123335,0.0018714,0.0022221,0.0006416,0.0034332,0.0035296,0.0015080,0.0026551,0.0016209,0.0007840,0.0016846,0.0008427,0.0008506,0.0018320,0.0010418,0.0012663,0.0012356,0.0018194,0.0018539,0.0019365,0.0013963,0.0013447,0.0012572,0.0009879,0.0012563,0.0007888,0.0009301,0.0001714,0.0019238,0.0009576,0.0007932,0.0007332,0.0028463,0.0010909,0.0031692,0.0128867,0.0031283,0.0238086,0.0233143,0.0077116,0.0099142,0.0015868,0.0026506,0.0030875,0.0022769,0.0040023,0.0018117,0.0024125,0.0006979,0.0060239,0.0017272
